;2022;2021;2020;2019;2018;2017;2016;2015
2906701 Málaga distrito 01;50,305;46,022;44,862;46,155;42,974;41,538;39,436;38,993
2906702 Málaga distrito 02;69,109;63,464;60,467;61,388;58,421;55,449;53,551;51,523
2906703 Málaga distrito 03;41,965;33,887;32,396;33,525;32,004;30,447;29,111;28,579
2906704 Málaga distrito 04;38,246;35,875;34,766;34,887;33,222;31,405;30,549;29,729
2906705 Málaga distrito 05;33,306;30,636;27,821;29,929;28,173;26,041;24,643;23,608
2906706 Málaga distrito 06;32,78;30,672;29,092;29,214;27,702;26,274;25,312;24,645
2906707 Málaga distrito 07;33,275;31,064;29,435;29,422;27,88;26,418;25,589;24,902
2906708 Málaga distrito 08;41,897;38,932;36,833;36,456;34,483;32,647;31,297;30,191
2906709 Málaga distrito 09;37,4;35,02;33,472;33,928;32,076;30,541;29,524;28,715
2906710 Málaga distrito 10;37,72;34,89;33,23;33,364;31,366;29,754;28,762;27,735
2906711 Málaga distrito 11;45,702;42,478;40,58;40,232;37,955;35,862;34,488;33,488
