Code	Distrito	2022	2021	2020	2019	2018	2017	2016	2015
1	Centro	50305	46022	44862	46155	42974	41538	39436	38993
2	Este	69109	63464	60467	61388	58421	55449	53551	51523
3	Ciudad Jardín	41965	33887	32396	33525	32004	30447	29111	28579
4	Bailen-miraflores	38246	35875	34766	34887	33222	31405	30549	29729
5	Martiricos - La Roca	33306	30636	27821	29929	28173	26041	24643	23608
6	Cruz de Humilladero	32780	30672	29092	29214	27702	26274	25312	24645
7	Carretera de Cádiz	33275	31064	29435	29422	27880	26418	25589	24902
8	Churriana	41897	38932	36833	36456	34483	32647	31297	30191
9	Campanillas	37400	35020	33472	33928	32076	30541	29524	28715
10	Puerto de la Torre	37720	34890	33230	33364	31366	29754	28762	27735
11	Teatinos	45702	42478	40580	40232	37955	35862	34488	33488
