Municipalities;Distritos;Sections;Mean and median income indicators;Period;Total
29067 Málaga;2906701 Málaga distrito 01;;Average household income;2022;50,305
29067 Málaga;2906701 Málaga distrito 01;;Average household income;2021;46,022
29067 Málaga;2906701 Málaga distrito 01;;Average household income;2020;44,862
29067 Málaga;2906701 Málaga distrito 01;;Average household income;2019;46,155
29067 Málaga;2906701 Málaga distrito 01;;Average household income;2018;42,974
29067 Málaga;2906701 Málaga distrito 01;;Average household income;2017;41,538
29067 Málaga;2906701 Málaga distrito 01;;Average household income;2016;39,436
29067 Málaga;2906701 Málaga distrito 01;;Average household income;2015;38,993
29067 Málaga;2906702 Málaga distrito 02;;Average household income;2022;69,109
29067 Málaga;2906702 Málaga distrito 02;;Average household income;2021;63,464
29067 Málaga;2906702 Málaga distrito 02;;Average household income;2020;60,467
29067 Málaga;2906702 Málaga distrito 02;;Average household income;2019;61,388
29067 Málaga;2906702 Málaga distrito 02;;Average household income;2018;58,421
29067 Málaga;2906702 Málaga distrito 02;;Average household income;2017;55,449
29067 Málaga;2906702 Málaga distrito 02;;Average household income;2016;53,551
29067 Málaga;2906702 Málaga distrito 02;;Average household income;2015;51,523
29067 Málaga;2906703 Málaga distrito 03;;Average household income;2022;41,965
29067 Málaga;2906703 Málaga distrito 03;;Average household income;2021;33,887
29067 Málaga;2906703 Málaga distrito 03;;Average household income;2020;32,396
29067 Málaga;2906703 Málaga distrito 03;;Average household income;2019;33,525
29067 Málaga;2906703 Málaga distrito 03;;Average household income;2018;32,004
29067 Málaga;2906703 Málaga distrito 03;;Average household income;2017;30,447
29067 Málaga;2906703 Málaga distrito 03;;Average household income;2016;29,111
29067 Málaga;2906703 Málaga distrito 03;;Average household income;2015;28,579
29067 Málaga;2906704 Málaga distrito 04;;Average household income;2022;38,246
29067 Málaga;2906704 Málaga distrito 04;;Average household income;2021;35,875
29067 Málaga;2906704 Málaga distrito 04;;Average household income;2020;34,766
29067 Málaga;2906704 Málaga distrito 04;;Average household income;2019;34,887
29067 Málaga;2906704 Málaga distrito 04;;Average household income;2018;33,222
29067 Málaga;2906704 Málaga distrito 04;;Average household income;2017;31,405
29067 Málaga;2906704 Málaga distrito 04;;Average household income;2016;30,549
29067 Málaga;2906704 Málaga distrito 04;;Average household income;2015;29,729
29067 Málaga;2906705 Málaga distrito 05;;Average household income;2022;33,306
29067 Málaga;2906705 Málaga distrito 05;;Average household income;2021;30,636
29067 Málaga;2906705 Málaga distrito 05;;Average household income;2020;27,821
29067 Málaga;2906705 Málaga distrito 05;;Average household income;2019;29,929
29067 Málaga;2906705 Málaga distrito 05;;Average household income;2018;28,173
29067 Málaga;2906705 Málaga distrito 05;;Average household income;2017;26,041
29067 Málaga;2906705 Málaga distrito 05;;Average household income;2016;24,643
29067 Málaga;2906705 Málaga distrito 05;;Average household income;2015;23,608
29067 Málaga;2906706 Málaga distrito 06;;Average household income;2022;32,780
29067 Málaga;2906706 Málaga distrito 06;;Average household income;2021;30,672
29067 Málaga;2906706 Málaga distrito 06;;Average household income;2020;29,092
29067 Málaga;2906706 Málaga distrito 06;;Average household income;2019;29,214
29067 Málaga;2906706 Málaga distrito 06;;Average household income;2018;27,702
29067 Málaga;2906706 Málaga distrito 06;;Average household income;2017;26,274
29067 Málaga;2906706 Málaga distrito 06;;Average household income;2016;25,312
29067 Málaga;2906706 Málaga distrito 06;;Average household income;2015;24,645
29067 Málaga;2906707 Málaga distrito 07;;Average household income;2022;33,275
29067 Málaga;2906707 Málaga distrito 07;;Average household income;2021;31,064
29067 Málaga;2906707 Málaga distrito 07;;Average household income;2020;29,435
29067 Málaga;2906707 Málaga distrito 07;;Average household income;2019;29,422
29067 Málaga;2906707 Málaga distrito 07;;Average household income;2018;27,880
29067 Málaga;2906707 Málaga distrito 07;;Average household income;2017;26,418
29067 Málaga;2906707 Málaga distrito 07;;Average household income;2016;25,589
29067 Málaga;2906707 Málaga distrito 07;;Average household income;2015;24,902
29067 Málaga;2906708 Málaga distrito 08;;Average household income;2022;41,897
29067 Málaga;2906708 Málaga distrito 08;;Average household income;2021;38,932
29067 Málaga;2906708 Málaga distrito 08;;Average household income;2020;36,833
29067 Málaga;2906708 Málaga distrito 08;;Average household income;2019;36,456
29067 Málaga;2906708 Málaga distrito 08;;Average household income;2018;34,483
29067 Málaga;2906708 Málaga distrito 08;;Average household income;2017;32,647
29067 Málaga;2906708 Málaga distrito 08;;Average household income;2016;31,297
29067 Málaga;2906708 Málaga distrito 08;;Average household income;2015;30,191
29067 Málaga;2906709 Málaga distrito 09;;Average household income;2022;37,400
29067 Málaga;2906709 Málaga distrito 09;;Average household income;2021;35,020
29067 Málaga;2906709 Málaga distrito 09;;Average household income;2020;33,472
29067 Málaga;2906709 Málaga distrito 09;;Average household income;2019;33,928
29067 Málaga;2906709 Málaga distrito 09;;Average household income;2018;32,076
29067 Málaga;2906709 Málaga distrito 09;;Average household income;2017;30,541
29067 Málaga;2906709 Málaga distrito 09;;Average household income;2016;29,524
29067 Málaga;2906709 Málaga distrito 09;;Average household income;2015;28,715
29067 Málaga;2906710 Málaga distrito 10;;Average household income;2022;37,720
29067 Málaga;2906710 Málaga distrito 10;;Average household income;2021;34,890
29067 Málaga;2906710 Málaga distrito 10;;Average household income;2020;33,230
29067 Málaga;2906710 Málaga distrito 10;;Average household income;2019;33,364
29067 Málaga;2906710 Málaga distrito 10;;Average household income;2018;31,366
29067 Málaga;2906710 Málaga distrito 10;;Average household income;2017;29,754
29067 Málaga;2906710 Málaga distrito 10;;Average household income;2016;28,762
29067 Málaga;2906710 Málaga distrito 10;;Average household income;2015;27,735
29067 Málaga;2906711 Málaga distrito 11;;Average household income;2022;45,702
29067 Málaga;2906711 Málaga distrito 11;;Average household income;2021;42,478
29067 Málaga;2906711 Málaga distrito 11;;Average household income;2020;40,580
29067 Málaga;2906711 Málaga distrito 11;;Average household income;2019;40,232
29067 Málaga;2906711 Málaga distrito 11;;Average household income;2018;37,955
29067 Málaga;2906711 Málaga distrito 11;;Average household income;2017;35,862
