	2022	2021	2020	2019	2018	2017	2016	2015
2906701 Málaga distrito 01	21,350	21,350	19,950	19,950	19,250	18,550	17,150	17,150
2906702 Málaga distrito 02	24,150	22,750	21,350	21,350	20,650	19,250	18,550	18,550
2906703 Málaga distrito 03	17,850	15,050	15,050	16,450	14,350	13,650	12,250	12,250
2906704 Málaga distrito 04	16,450	15,750	15,050	15,050	14,350	13,650	12,950	12,950
2906705 Málaga distrito 05	13,650	12,950	12,250	12,950	12,950	11,550	10,850	10,850
2906706 Málaga distrito 06	14,350	13,650	12,950	12,950	12,250	11,550	10,850	10,850
2906707 Málaga distrito 07	14,350	12,950	12,250	12,950	11,550	10,850	10,850	10,150
2906708 Málaga distrito 08	17,150	16,450	15,050	15,050	14,350	13,650	12,950	12,950
2906709 Málaga distrito 09	16,450	15,050	14,350	14,350	13,650	12,950	12,250	12,250
2906710 Málaga distrito 10	16,450	15,050	14,350	14,350	13,650	12,950	12,250	12,250
2906711 Málaga distrito 11	17,150	16,450	15,050	15,750	15,050	14,350	13,650	12,950
