Code	Distrito	2022	2021	2020	2019	2018	2017	2016	2015
1	Centro	21350	21350	19950	19950	19250	18550	17150	17150
2	Este	24150	22750	21350	21350	20650	19250	18550	18550
3	Ciudad Jardín	17850	15050	15050	16450	14350	13650	12250	12250
4	Bailen-miraflores	16450	15750	15050	15050	14350	13650	12950	12950
5	Martiricos - La Roca	13650	12950	12250	12950	12950	11550	10850	10850
6	Cruz de Humilladero	14350	13650	12950	12950	12250	11550	10850	10850
7	Carretera de Cádiz	14350	12950	12250	12950	11550	10850	10850	10150
8	Churriana	17150	16450	15050	15050	14350	13650	12950	12950
9	Campanillas	16450	15050	14350	14350	13650	12950	12250	12250
10	Puerto de la Torre	16450	15050	14350	14350	13650	12950	12250	12250
11	Teatinos	17150	16450	15050	15750	15050	14350	13650	12950
