Municipalities;Distritos;Sections;Mean and median income indicators;Period;Total
29067 Málaga;2906701 Málaga distrito 01;;Median income by unit of consumption;2022;21,350
29067 Málaga;2906701 Málaga distrito 01;;Median income by unit of consumption;2021;21,350
29067 Málaga;2906701 Málaga distrito 01;;Median income by unit of consumption;2020;19,950
29067 Málaga;2906701 Málaga distrito 01;;Median income by unit of consumption;2019;19,950
29067 Málaga;2906701 Málaga distrito 01;;Median income by unit of consumption;2018;19,250
29067 Málaga;2906701 Málaga distrito 01;;Median income by unit of consumption;2017;18,550
29067 Málaga;2906701 Málaga distrito 01;;Median income by unit of consumption;2016;17,150
29067 Málaga;2906701 Málaga distrito 01;;Median income by unit of consumption;2015;17,150
29067 Málaga;2906702 Málaga distrito 02;;Median income by unit of consumption;2022;24,150
29067 Málaga;2906702 Málaga distrito 02;;Median income by unit of consumption;2021;22,750
29067 Málaga;2906702 Málaga distrito 02;;Median income by unit of consumption;2020;21,350
29067 Málaga;2906702 Málaga distrito 02;;Median income by unit of consumption;2019;21,350
29067 Málaga;2906702 Málaga distrito 02;;Median income by unit of consumption;2018;20,650
29067 Málaga;2906702 Málaga distrito 02;;Median income by unit of consumption;2017;19,250
29067 Málaga;2906702 Málaga distrito 02;;Median income by unit of consumption;2016;18,550
29067 Málaga;2906702 Málaga distrito 02;;Median income by unit of consumption;2015;18,550
29067 Málaga;2906703 Málaga distrito 03;;Median income by unit of consumption;2022;17,850
29067 Málaga;2906703 Málaga distrito 03;;Median income by unit of consumption;2021;15,050
29067 Málaga;2906703 Málaga distrito 03;;Median income by unit of consumption;2020;15,050
29067 Málaga;2906703 Málaga distrito 03;;Median income by unit of consumption;2019;16,450
29067 Málaga;2906703 Málaga distrito 03;;Median income by unit of consumption;2018;14,350
29067 Málaga;2906703 Málaga distrito 03;;Median income by unit of consumption;2017;13,650
29067 Málaga;2906703 Málaga distrito 03;;Median income by unit of consumption;2016;12,250
29067 Málaga;2906703 Málaga distrito 03;;Median income by unit of consumption;2015;12,250
29067 Málaga;2906704 Málaga distrito 04;;Median income by unit of consumption;2022;16,450
29067 Málaga;2906704 Málaga distrito 04;;Median income by unit of consumption;2021;15,750
29067 Málaga;2906704 Málaga distrito 04;;Median income by unit of consumption;2020;15,050
29067 Málaga;2906704 Málaga distrito 04;;Median income by unit of consumption;2019;15,050
29067 Málaga;2906704 Málaga distrito 04;;Median income by unit of consumption;2018;14,350
29067 Málaga;2906704 Málaga distrito 04;;Median income by unit of consumption;2017;13,650
29067 Málaga;2906704 Málaga distrito 04;;Median income by unit of consumption;2016;12,950
29067 Málaga;2906704 Málaga distrito 04;;Median income by unit of consumption;2015;12,950
29067 Málaga;2906705 Málaga distrito 05;;Median income by unit of consumption;2022;13,650
29067 Málaga;2906705 Málaga distrito 05;;Median income by unit of consumption;2021;12,950
29067 Málaga;2906705 Málaga distrito 05;;Median income by unit of consumption;2020;12,250
29067 Málaga;2906705 Málaga distrito 05;;Median income by unit of consumption;2019;12,950
29067 Málaga;2906705 Málaga distrito 05;;Median income by unit of consumption;2018;12,950
29067 Málaga;2906705 Málaga distrito 05;;Median income by unit of consumption;2017;11,550
29067 Málaga;2906705 Málaga distrito 05;;Median income by unit of consumption;2016;10,850
29067 Málaga;2906705 Málaga distrito 05;;Median income by unit of consumption;2015;10,850
29067 Málaga;2906706 Málaga distrito 06;;Median income by unit of consumption;2022;14,350
29067 Málaga;2906706 Málaga distrito 06;;Median income by unit of consumption;2021;13,650
29067 Málaga;2906706 Málaga distrito 06;;Median income by unit of consumption;2020;12,950
29067 Málaga;2906706 Málaga distrito 06;;Median income by unit of consumption;2019;12,950
29067 Málaga;2906706 Málaga distrito 06;;Median income by unit of consumption;2018;12,250
29067 Málaga;2906706 Málaga distrito 06;;Median income by unit of consumption;2017;11,550
29067 Málaga;2906706 Málaga distrito 06;;Median income by unit of consumption;2016;10,850
29067 Málaga;2906706 Málaga distrito 06;;Median income by unit of consumption;2015;10,850
29067 Málaga;2906707 Málaga distrito 07;;Median income by unit of consumption;2022;14,350
29067 Málaga;2906707 Málaga distrito 07;;Median income by unit of consumption;2021;12,950
29067 Málaga;2906707 Málaga distrito 07;;Median income by unit of consumption;2020;12,250
29067 Málaga;2906707 Málaga distrito 07;;Median income by unit of consumption;2019;12,950
29067 Málaga;2906707 Málaga distrito 07;;Median income by unit of consumption;2018;11,550
29067 Málaga;2906707 Málaga distrito 07;;Median income by unit of consumption;2017;10,850
29067 Málaga;2906707 Málaga distrito 07;;Median income by unit of consumption;2016;10,850
29067 Málaga;2906707 Málaga distrito 07;;Median income by unit of consumption;2015;10,150
29067 Málaga;2906708 Málaga distrito 08;;Median income by unit of consumption;2022;17,150
29067 Málaga;2906708 Málaga distrito 08;;Median income by unit of consumption;2021;16,450
29067 Málaga;2906708 Málaga distrito 08;;Median income by unit of consumption;2020;15,050
29067 Málaga;2906708 Málaga distrito 08;;Median income by unit of consumption;2019;15,050
29067 Málaga;2906708 Málaga distrito 08;;Median income by unit of consumption;2018;14,350
29067 Málaga;2906708 Málaga distrito 08;;Median income by unit of consumption;2017;13,650
29067 Málaga;2906708 Málaga distrito 08;;Median income by unit of consumption;2016;12,950
29067 Málaga;2906708 Málaga distrito 08;;Median income by unit of consumption;2015;12,950
29067 Málaga;2906709 Málaga distrito 09;;Median income by unit of consumption;2022;16,450
29067 Málaga;2906709 Málaga distrito 09;;Median income by unit of consumption;2021;15,050
29067 Málaga;2906709 Málaga distrito 09;;Median income by unit of consumption;2020;14,350
29067 Málaga;2906709 Málaga distrito 09;;Median income by unit of consumption;2019;14,350
29067 Málaga;2906709 Málaga distrito 09;;Median income by unit of consumption;2018;13,650
29067 Málaga;2906709 Málaga distrito 09;;Median income by unit of consumption;2017;12,950
29067 Málaga;2906709 Málaga distrito 09;;Median income by unit of consumption;2016;12,250
29067 Málaga;2906709 Málaga distrito 09;;Median income by unit of consumption;2015;12,250
29067 Málaga;2906710 Málaga distrito 10;;Median income by unit of consumption;2022;16,450
29067 Málaga;2906710 Málaga distrito 10;;Median income by unit of consumption;2021;15,050
29067 Málaga;2906710 Málaga distrito 10;;Median income by unit of consumption;2020;14,350
29067 Málaga;2906710 Málaga distrito 10;;Median income by unit of consumption;2019;14,350
29067 Málaga;2906710 Málaga distrito 10;;Median income by unit of consumption;2018;13,650
29067 Málaga;2906710 Málaga distrito 10;;Median income by unit of consumption;2017;12,950
29067 Málaga;2906710 Málaga distrito 10;;Median income by unit of consumption;2016;12,250
29067 Málaga;2906710 Málaga distrito 10;;Median income by unit of consumption;2015;12,250
29067 Málaga;2906711 Málaga distrito 11;;Median income by unit of consumption;2022;17,150
29067 Málaga;2906711 Málaga distrito 11;;Median income by unit of consumption;2021;16,450
29067 Málaga;2906711 Málaga distrito 11;;Median income by unit of consumption;2020;15,050
29067 Málaga;2906711 Málaga distrito 11;;Median income by unit of consumption;2019;15,750
29067 Málaga;2906711 Málaga distrito 11;;Median income by unit of consumption;2018;15,050
29067 Málaga;2906711 Málaga distrito 11;;Median income by unit of consumption;2017;14,350
29067 Málaga;2906711 Málaga distrito 11;;Median income by unit of consumption;2016;13,650
29067 Málaga;2906711 Málaga distrito 11;;Median income by unit of consumption;2015;12,950
