Total Nacional;Municipios;Subciudad;Indicadores;Sexo;Periodo;Total
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2022;33.786,29
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2021;31.611,75
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2020;30.219,18
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2019;30.446,75
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2018;28.916,76
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2017;27.524,76
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2016;26.672,87
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2015;25.922,43
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2014;24.286,66
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2013;24.404,52
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2012;25.140,01
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2011;26.715,23
Total Nacional;Málaga;;Renta neta media anual de los hogares (Euros);Total;2010;..
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;30.551,93
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;28.261,59
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;27.174,74
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;27.695,96
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;24.923,03
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;24.232,77
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;23.588,25
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;21.647,13
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;21.647,13
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;21.685,85
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Centro (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Litoral Este: Malagueta-Limonar (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Litoral Este: Malagueta-Limonar (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;61.775,69
Total Nacional;Málaga;Litoral Este: Malagueta-Limonar (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;57.379,88
Total Nacional;Málaga;Litoral Este: Malagueta-Limonar (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;55.403,22
Total Nacional;Málaga;Litoral Este: Malagueta-Limonar (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;56.298,97
Total Nacional;Málaga;Litoral Este: Malagueta-Limonar (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;51.115,64
Total Nacional;Málaga;Litoral Este: Malagueta-Limonar (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;49.384,18
