NUMERO;Distrito;Octubre 2024;Septiembre 2024;Agosto 2024;Julio 2024;Junio 2024;Mayo 2024;Abril 2024;Marzo 2024;Febrero 2024;Enero 2024;Diciembre 2023;Noviembre 2023;Octubre 2023;Septiembre 2023;Agosto 2023;Julio 2023;Junio 2023;Mayo 2023;Abril 2023;Marzo 2023;Febrero 2023;Enero 2023;Diciembre 2022;Noviembre 2022;Octubre 2022;Septiembre 2022;Agosto 2022;Julio 2022;Junio 2022;Mayo 2022;Abril 2022;Marzo 2022;Febrero 2022;Enero 2022;Diciembre 2021;Noviembre 2021;Octubre 2021;Septiembre 2021;Agosto 2021;Julio 2021;Junio 2021;Mayo 2021;Abril 2021;Marzo 2021;Febrero 2021;Enero 2021;Diciembre 2020;Noviembre 2020;Octubre 2020;Septiembre 2020;Agosto 2020;Julio 2020;Junio 2020;Mayo 2020;Abril 2020;Marzo 2020;Febrero 2020;Enero 2020;Diciembre 2019;Noviembre 2019;Octubre 2019;Septiembre 2019;Agosto 2019;Julio 2019;Junio 2019;Mayo 2019;Abril 2019;Marzo 2019;Febrero 2019;Enero 2019;Diciembre 2018;Noviembre 2018;Octubre 2018;Septiembre 2018;Agosto 2018;Julio 2018;Junio 2018;Mayo 2018;Abril 2018;Marzo 2018;Febrero 2018;Enero 2018;Diciembre 2017;Noviembre 2017;Octubre 2017;Septiembre 2017;Agosto 2017;Julio 2017;Junio 2017;Mayo 2017;Abril 2017;Marzo 2017;Febrero 2017;Enero 2017;Diciembre 2016;Noviembre 2016;Octubre 2016;Septiembre 2016;Agosto 2016;Julio 2016;Junio 2016;Mayo 2016;Abril 2016;Marzo 2016;Febrero 2016;Enero 2016;Diciembre 2015;Noviembre 2015;Octubre 2015;Septiembre 2015;Agosto 2015;Julio 2015;Junio 2015;Mayo 2015;Abril 2015;Marzo 2015;Febrero 2015;Enero 2015;Diciembre 2014;Noviembre 2014;Octubre 2014;Septiembre 2014;Agosto 2014;Julio 2014;Junio 2014;Mayo 2014;Abril 2014;Marzo 2014;Febrero 2014;Enero 2014;Diciembre 2013;Noviembre 2013;Octubre 2013;Septiembre 2013;Agosto 2013;Julio 2013;Junio 2013;Mayo 2013;Abril 2013;Marzo 2013;Febrero 2013;Enero 2013;Diciembre 2012;Noviembre 2012;Octubre 2012;Septiembre 2012;Agosto 2012;Julio 2012;Junio 2012;Mayo 2012;Abril 2012;Marzo 2012;Febrero 2012;Enero 2012;Diciembre 2011;Noviembre 2011;Octubre 2011;Septiembre 2011;Agosto 2011;Julio 2011;Junio 2011;Mayo 2011;Abril 2011;Marzo 2011;Febrero 2011;Enero 2011;Diciembre 2010;Noviembre 2010;Octubre 2010;Septiembre 2010;Agosto 2010;Julio 2010;Junio 2010;Mayo 2010;Abril 2010;Marzo 2010;Febrero 2010;Enero 2010;Diciembre 2009;Noviembre 2009;Octubre 2009;Septiembre 2009;Agosto 2009;Julio 2009;Junio 2009;Mayo 2009;Abril 2009;Marzo 2009;Febrero 2009;Enero 2009;Diciembre 2008;Noviembre 2008;Octubre 2008;Septiembre 2008;Agosto 2008;Julio 2008;Junio 2008;Mayo 2008;Abril 2008;Marzo 2008;Febrero 2008;Enero 2008;Diciembre 2007;Noviembre 2007;Octubre 2007;Septiembre 2007;Agosto 2007;Julio 2007;Junio 2007;Mayo 2007;Abril 2007;Marzo 2007;Febrero 2007;Enero 2007;Diciembre 2006;Noviembre 2006;Octubre 2006;Septiembre 2006;Agosto 2006;Julio 2006;Junio 2006;Mayo 2006;Abril 2006;Marzo 2006;Febrero 2006;Enero 2006
1;Centro;3844;3795;3777;3756;3771;3708;3648;3615;3607;3634;3567;3517;3528;3552;3477;342;3329;3235;3198;3177;3174;3131;3109;3064;3005;2976;2927;2907;29;2862;2854;2843;2848;2798;2759;2732;2742;273;2714;2732;2755;2764;2752;2729;2724;2757;2746;2781;2793;2796;2806;2802;2836;287;2865;2829;2805;2765;2739;2736;2748;2717;2696;2685;2636;2639;2657;2639;2628;26;2598;26;2587;2572;2524;244;2391;2342;2331;2298;2246;2199;2129;2096;209;207;2066;2032;1997;1953;1919;1876;1879;1873;1867;1864;1874;1882;1858;1864;1853;1823;1797;1805;1819;1814;1808;1805;1786;1772;1747;1729;1725;1722;1709;1694;169;1692;1693;17;1691;1676;1656;1682;1693;1725;173;1747;1788;1814;1816;1837;1868;1877;187;1869;1857;187;1908;1925;1923;1904;1916;1923;1941;1952;1927;1935;1941;1959;1972;1999;2004;2011;2034;2084;2081;2101;2098;2101;2118;2122;215;2155;2145;2137;2168;2133;2096;2105;2134;2147;2143;2122;2139;2115;2114;216;2171;2209;2222;22;2057;2113;2148;224;2262;2265;2263;2151;2101;2154;2183;2153;2161;2231;2268;2237;2199;2197;2303;2354;2353;2352;235;2322;2316;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;Este;4062;4107;4109;4105;4029;3963;3936;3875;3774;3744;3723;3681;3682;3631;3626;357;3476;348;3421;3306;3331;3303;3277;3253;3226;3283;3198;3129;3116;3089;3051;3029;3012;2998;2946;2934;2927;289;2864;2869;2826;2851;2815;2772;2756;274;275;275;2756;2755;2758;2703;2726;268;2671;2664;2652;2633;2645;2643;2647;2688;2694;2665;2667;2618;2602;2556;2519;2514;2529;2532;2525;2528;2502;2481;2437;244;2433;2405;2386;2373;2356;2346;2342;2335;2326;2309;2333;2335;2315;2288;2283;2296;2273;2256;2231;2235;2223;2233;2245;2235;2232;2231;2234;2205;2206;2201;219;2196;2188;2217;2216;2211;2209;222;2218;2207;2208;2217;221;2186;2187;2172;2186;2201;2221;219;2228;2232;2264;2272;2264;225;2262;2246;2296;2309;2331;2337;2328;2332;2331;2328;2322;2314;2321;2346;2377;242;2458;2483;2477;2497;2524;2541;2549;2542;2544;2515;2531;2535;2564;2565;2551;2553;2563;2545;2549;2526;2549;2544;2615;2565;2497;2488;2486;246;2482;2511;2532;2509;2489;2501;2481;2482;2518;252;2493;2417;2391;2488;2588;2589;239;239;2526;2456;2455;2433;2605;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;Ciudad Jardín;2055;1967;1976;1935;1943;1912;1895;1841;1819;1796;1779;1745;1752;1769;1768;1763;1738;1725;1694;165;1617;1568;1553;1506;1479;1468;1445;145;1443;1444;1422;1426;1427;1429;1428;1436;1426;1436;1408;1427;1433;1425;1418;1413;1408;1402;1416;1368;1396;1384;1365;1348;1365;137;1362;1366;1369;1402;1391;1406;141;1399;1396;1374;1382;1394;1388;1383;1387;135;1355;1399;1379;1363;1327;1299;1291;1251;1229;116;1128;1121;1125;1069;1068;1051;1047;1027;1008;997;996;1003;1004;996;962;963;965;989;992;984;989;991;996;1;1024;1018;1003;982;989;962;960;951;966;976;982;998;1;1006;980;1053;1077;1077;105;105;1068;107;1106;1133;116;1162;116;119;1203;12;1197;1195;119;1179;1184;1242;1246;126;1243;1251;1282;1303;1318;1292;1292;1321;1316;1327;1341;1379;1388;1403;1429;1453;1453;1446;1472;1469;1463;1481;1491;1479;1454;1473;1509;1533;1507;1541;1659;1646;1646;1643;1584;1627;1638;1688;1685;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;Bailen-miraflores;2416;2305;2286;2256;2191;2138;2093;2106;2095;2115;2125;2126;2092;2071;2067;2029;2016;1987;1952;1902;1889;1864;1866;1859;1825;1827;182;1794;1768;1753;1715;1693;1688;1676;1661;1658;1646;1612;16;1583;1599;1602;1592;1574;1569;1571;1583;1597;1584;1567;1571;1573;1585;1623;1615;1616;1621;1613;1622;1628;1656;1606;1613;1598;1604;1609;1595;1578;1561;1549;1554;1535;152;149;145;1434;1402;1375;135;1308;1286;1273;1266;1241;1234;1222;1218;1174;1153;1142;1155;1151;1184;1178;1161;1156;1127;1103;1104;1107;109;1067;1075;1086;1077;1086;1076;1083;1079;1078;1062;1059;1065;1079;108;1083;1086;1091;1096;1126;111;1108;1112;1131;1133;1133;113;1138;1148;1198;119;1172;1175;118;1159;1183;1213;1221;1213;1237;1244;1282;1294;1324;1352;1326;1333;1383;1418;1453;1473;1494;15;1526;1525;1557;1608;1623;1626;1642;1657;1652;1671;1701;1672;1693;1693;1711;1711;1725;1735;1756;1729;1717;1715;1728;1771;1727;1764;1728;1725;1828;184;1838;1845;1841;1842;1874;1864;1909;1936;1944;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;Martiricos - La Roca;1051;997;1055;1048;1071;1126;118;1234;1288;1266;1329;1327;1326;1324;1322;132;1319;1317;1315;1314;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;Cruz de Humilladero;2726;2697;2654;254;2528;2452;2377;2295;2226;2205;2204;2187;2207;2188;2161;2128;2129;2064;2042;1978;1968;1967;197;1973;1983;1981;194;1889;1868;1855;1828;1808;1794;1788;1806;1787;1791;1779;1781;1763;1757;171;1694;1696;1679;1675;169;1694;173;1735;1739;175;1798;1806;1777;1769;176;1753;1746;1734;1712;1669;1651;1696;1709;1701;1685;1644;1645;1633;1631;161;1592;158;157;1562;1529;1477;1469;1441;1437;1421;137;1365;1349;1328;1319;1305;1297;129;126;126;1259;1239;1233;1204;1204;1175;1166;1152;113;1145;1171;1204;12;1177;1164;1191;119;1184;1177;118;1171;1155;1152;1166;1158;1163;1162;1161;1182;1158;1138;1144;1144;1176;1175;1188;1257;1291;131;1315;1315;1307;131;1305;1307;1361;1372;1405;1398;1404;1403;1431;1445;1458;1458;1458;148;1491;1508;1534;1548;1563;1563;1615;1636;1634;1645;1661;1675;1716;1742;1771;1762;1738;1735;1704;1747;1747;1748;1775;1795;1804;1796;1805;181;1817;1819;1831;1943;183;183;183;1928;1953;1991;2019;2;1982;1977;1978;2013;2014;2018;2062;2059;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;Carretera de Cádiz;3317;3261;3203;3211;3153;3108;306;2989;3046;299;2924;2869;2885;2924;282;2716;2612;2508;2404;234;2322;2304;2288;2282;2297;229;2247;2202;2161;2199;2183;2144;2086;2055;2061;207;2074;2121;213;2125;2088;2039;1982;1953;1942;1948;1968;1968;1997;1986;1961;1969;199;1981;198;1945;1905;1875;1855;1874;1916;1915;1891;1931;1939;1954;1948;1968;1932;1941;1927;1937;1932;1893;1866;1847;1866;1847;1819;183;1802;1795;1752;1703;1683;1644;1605;1576;1543;1519;1504;1502;1497;1479;1432;1452;1469;1447;1432;1417;1418;141;1416;1409;1435;1488;1465;1463;1474;1453;1412;1382;1387;1377;1472;1445;1493;1496;137;1387;133;1379;133;1331;1387;1397;1385;1395;1473;1557;1582;1598;1598;1595;1595;1599;1615;1632;1637;1641;1665;1682;164;1661;1693;1722;1717;174;1755;1789;1782;1802;1808;1802;1823;184;1876;1871;1871;188;1907;1912;192;1937;1946;1954;1945;1875;1853;1845;1832;1811;1811;1818;184;1878;1866;1852;182;1871;1889;1858;1818;1836;1841;1802;1799;1879;1935;1959;1947;1948;1989;1893;2024;1926;2018;2119;2189;2304;227;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;Churriana;2303;2325;233;2268;2275;2236;2187;214;2147;2116;2127;2124;2106;2126;2145;2144;2136;2135;2128;2086;2085;2081;2073;2094;2103;211;2116;2084;2063;2014;2016;2004;1937;1919;191;1911;1878;1885;1876;1835;1818;1788;1744;1726;1736;1723;1697;172;172;174;1749;1768;1752;1756;1761;179;1804;1786;18;1834;184;1868;1831;1831;1778;1735;1735;1736;174;1718;1682;1704;1706;1743;1723;1691;1682;1666;1643;163;1599;1597;1612;1624;1595;1583;1584;164;1628;1634;158;1615;1605;1615;1602;1598;1581;162;1616;1588;1576;1574;1592;1557;1556;1555;1554;1557;1557;1555;1564;1558;1549;1537;1546;1532;1529;153;1518;1494;1512;1514;1506;1521;1538;1553;155;1553;1558;1603;1605;1619;1611;16;1611;1613;1644;164;165;166;1673;1675;1692;1693;1721;1724;1716;1775;1767;1759;1753;1778;1778;181;1837;1846;1839;1819;1827;1867;185;1909;1909;1904;1908;1908;1868;1873;1847;1862;1795;1819;1916;1918;1927;1995;1986;1918;1955;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;Campanillas;2071;211;212;213;2087;2066;196;199;1945;1995;1996;2039;1955;1871;1868;181;1752;1651;167;169;1602;1518;1619;1642;166;1717;1599;1624;1585;156;1554;1569;1493;1434;1436;1433;1439;1423;1374;139;1406;1409;1382;1349;1322;1318;1308;1326;1337;1282;1275;1311;1279;127;1265;1277;1257;1299;1285;13;1295;1323;1304;1335;137;1339;1313;1335;13;1321;1321;1283;1287;1333;1328;131;1269;1269;1234;1232;1204;12;1213;1205;1218;1241;1244;1223;123;1225;1206;1181;1139;1159;1135;1072;1058;1081;1098;1118;1123;1147;1159;1177;1165;1165;117;1168;1208;1152;1121;1158;1153;1214;1235;1217;1257;1204;1206;1249;1266;125;1306;1306;1318;1312;1343;1314;1353;1382;1381;1373;1404;1395;141;1416;144;145;1433;1436;1431;1429;1448;1428;1419;1419;1441;1407;1446;1508;1518;1522;1524;1611;1592;1595;1593;163;1597;1598;1594;1597;161;1576;1576;1608;1626;1619;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;Puerto de la Torre;2544;2503;2476;2424;2382;2337;2287;2168;2166;2219;2246;2232;2161;2141;2164;2123;2113;2042;1988;2002;1989;1966;1964;201;2032;1964;1948;1902;1964;1927;1883;1928;1871;1807;1803;1839;1831;1846;187;1903;1872;185;183;1796;1759;1718;1708;1722;1716;1699;1746;1722;1707;1696;1711;1702;1688;169;1699;1673;1673;1673;1657;1687;1696;1697;1726;1753;174;172;1675;1687;1687;1668;1652;1647;1605;1589;1584;1551;1485;1529;1504;1471;145;1442;1425;1431;143;1428;1415;1419;1432;1437;1442;1416;1407;138;138;1368;1442;1436;1437;1437;1444;1454;1456;146;1458;1441;1452;1473;1496;1401;1396;1408;1427;1442;1432;1427;1436;1465;1447;1445;1421;1428;1435;1409;1418;1417;1419;1451;1456;1457;1438;1469;1482;1502;1505;1521;1574;1577;1598;161;1626;1675;1667;1665;1685;1675;1673;168;1672;1691;1656;1637;1717;1763;1806;1725;1781;1709;1701;1654;1658;167;1662;1733;1679;1707;1716;1794;184;1754;1753;1873;1874;1847;1808;1827;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
