NOMBRE;Distrito de residencia;NUMERO;kw_pct
BAILEN-MIRAFLORES;Distrito 2906704;4.0;0.41071428571428564
CAMPANILLAS;Distrito 2906709;9.0;0.3324873096446701
CARRETERA DE CADIZ;Distrito 2906707;7.0;0.27773790727716374
CENTRO;Distrito 2906701;1.0;0.5997818974918212
CHURRIANA;Distrito 2906708;8.0;0.3316923895689196
CIUDAD JARDIN;Distrito 2906703;3.0;0.4903129657228018
CRUZ DE HUMILLADERO;Distrito 2906706;6.0;0.25749605470804837
ESTE;Distrito 2906702;2.0;0.5749801113762928
PALMA-PALMILLA;Distrito 2906705;5.0;0.47227036395147315
PUERTO DE LA TORRE;Distrito 2906710;10.0;0.29124579124579125
TEATINOS-UNIVERSIDAD;Distrito 2906711;11.0;0.27057079318013344
