Municipio de residencia;Distrito ;Total;1 - Directores y gerentes;2 - Técnicos y profesionales científicos e intelectuales;"3 - Técnicos; profesionales de apoyo";4 - Empleados contables, administrativos y otros empleados de oficina;5 - Trabajadores de los servicios de restauración, personales, protección y vendedores;6 - Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7 - Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8 - Operadores de instalaciones y maquinaria, y montadores;9 - Ocupaciones elementales;No consta
Total;Total;206364;6546;43236;21978;22242;52086;963;17160;9771;26646;5742
29067 Málaga;Total;206364;6546;43236;21978;22242;52086;963;17160;9771;26643;5739
29067 Málaga;Distrito 2906701;1608;99;591;213;168;291;9;42;21;99;72
29067 Málaga;Distrito 2906702;24873;1758;9180;3054;2673;3993;138;1077;456;1749;795
29067 Málaga;Distrito 2906703;1167;63;375;135;102;270;3;57;21;105;39
29067 Málaga;Distrito 2906704;5538;183;1611;645;702;1290;15;279;144;531;141
29067 Málaga;Distrito 2906705;1335;48;339;165;156;345;9;69;30;144;27
29067 Málaga;Distrito 2906706;20289;414;3057;1941;2070;5886;90;1944;1164;3201;525
29067 Málaga;Distrito 2906707;38658;804;6108;3738;3792;11118;198;3687;2082;6123;1005
29067 Málaga;Distrito 2906708;46029;1251;8925;5115;5418;11124;213;4500;2688;5553;1236
29067 Málaga;Distrito 2906709;27000;747;6048;2754;2937;6771;126;1908;1095;3786;825
29067 Málaga;Distrito 2906710;31905;825;5604;3234;3384;8820;123;2916;1659;4521;819
29067 Málaga;Distrito 2906711;7971;360;1392;981;837;2175;45;687;408;831;258
