Municipio de residencia;Distrito de residencia;Total;0 - Ocupaciones militares;1 - Directores y gerentes;2 - Técnicos y profesionales científicos e intelectuales;"3 - Técnicos; profesionales de apoyo";4 - Empleados contables, administrativos y otros empleados de oficina;5 - Trabajadores de los servicios de restauración, personales, protección y vendedores;6 - Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7 - Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8 - Operadores de instalaciones y maquinaria, y montadores;9 - Ocupaciones elementales
Total;Total;184845;615;7535;34675;20565;27370;44880;1055;14720;11180;22250
29067 Málaga;Total;184845;615;7535;34675;20565;27370;44880;1055;14720;11180;22250
29067 Málaga;Distrito 2906702;25255;115;2185;9435;2835;3660;3850;75;905;440;1755
29067 Málaga;Distrito 2906704;5600;0;220;1440;640;915;1295;125;400;195;370
29067 Málaga;Distrito 2906706;19120;105;560;2630;1705;3025;5430;145;1995;1180;2340
29067 Málaga;Distrito 2906707;34960;120;1055;4770;3850;4505;10245;190;2760;2455;5005
29067 Málaga;Distrito 2906708;37690;110;1495;6445;4525;5890;8150;190;3535;3010;4340
29067 Málaga;Distrito 2906709;25720;105;740;4915;2860;4005;6035;150;1740;1380;3785
29067 Málaga;Distrito 2906710;29745;45*;1020;4190;3440;4275;7640;115;2785;2120;4115
29067 Málaga;Distrito 2906711;6760;15*;265;845;715;1090;2240;60;595;400;535
29067 Málaga;Distrito 2906701;;;130;655;315;370;215;*;*;*;140
29067 Málaga;Distrito 2906703;;;*;480;175;165;440;*;*;*;70
29067 Málaga;Distrito 2906705;;;75;305;165;145;290;*;*;*;165
