NUMSECCENS;Seccion de residencia;kw_pct
1001.0;Sección 2906701001;0.5767441860465117
2003.0;Sección 2906702003;0.4545454545454546
2004.0;Sección 2906702004;0.752808988764045
2009.0;Sección 2906702009;0.3592233009708738
2013.0;Sección 2906702013;0.6989247311827957
2020.0;Sección 2906702020;0.3352272727272727
2022.0;Sección 2906702022;0.7437185929648241
2024.0;Sección 2906702024;0.2134146341463415
2026.0;Sección 2906702026;0.33333333333333337
2027.0;Sección 2906702027;0.5189003436426117
2028.0;Sección 2906702028;0.5029940119760479
2030.0;Sección 2906702030;0.39338235294117646
2041.0;Sección 2906702041;0.717948717948718
2044.0;Sección 2906702044;0.6782945736434108
2047.0;Sección 2906702047;0.7878787878787878
2048.0;Sección 2906702048;0.7777777777777778
2049.0;Sección 2906702049;0.6923076923076923
2050.0;Sección 2906702050;0.7656675749318801
3003.0;Sección 2906703003;0.45882352941176474
4001.0;Sección 2906704001;0.5026455026455026
4003.0;Sección 2906704003;0.30219780219780223
4004.0;Sección 2906704004;0.42105263157894735
4007.0;Sección 2906704007;0.3975903614457832
4009.0;Sección 2906704009;0.5078534031413613
5002.0;Sección 2906705002;0.35398230088495575
6002.0;Sección 2906706002;0.22844827586206895
6007.0;Sección 2906706007;0.13513513513513514
6012.0;Sección 2906706012;0.4560439560439561
6013.0;Sección 2906706013;0.3045267489711934
6019.0;Sección 2906706019;0.2616279069767442
6025.0;Sección 2906706025;0.2182741116751269
6028.0;Sección 2906706028;0.39583333333333337
6031.0;Sección 2906706031;0.23030303030303031
6039.0;Sección 2906706039;0.5165876777251185
6048.0;Sección 2906706048;0.38566552901023887
7005.0;Sección 2906707005;0.43333333333333335
7011.0;Sección 2906707011;0.33701657458563533
7023.0;Sección 2906707023;0.20463320463320464
7027.0;Sección 2906707027;0.6509433962264151
7030.0;Sección 2906707030;0.3293413173652695
7034.0;Sección 2906707034;0.3047210300429185
7043.0;Sección 2906707043;0.36036036036036034
7046.0;Sección 2906707046;0.2548262548262548
7048.0;Sección 2906707048;0.25225225225225223
