Municipio de residencia;Seccion de residencia;0 - Ocupaciones militares;1 - Directores y gerentes;2 - Técnicos y profesionales científicos e intelectuales;"3 - Técnicos; profesionales de apoyo";4 - Empleados contables, administrativos y otros empleados de oficina;5 - Trabajadores de los servicios de restauración, personales, protección y vendedores;6 - Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7 - Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8 - Operadores de instalaciones y maquinaria, y montadores;9 - Ocupaciones elementales
29067 Málaga;Sección 2906701001;*;*;225;*;210;110;*;*;*;*
29067 Málaga;Sección 2906701002;*;*;155;*;*;*;*;*;*;*
29067 Málaga;Sección 2906701003;*;*;215;*;*;*;*;*;*;*
29067 Málaga;Sección 2906701004;*;*;60;*;135;*;*;*;*;*
29067 Málaga;Sección 2906702001;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702002;*;*;145;*;70;*;*;*;*;*
29067 Málaga;Sección 2906702003;*;*;280;*;195;210;*;*;*;*
29067 Málaga;Sección 2906702004;*;*;300;80;*;130;*;*;*;*
29067 Málaga;Sección 2906702005;*;*;235;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702006;*;*;190;75;*;150;*;*;*;*
29067 Málaga;Sección 2906702007;*;65;220;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702008;*;115;130;*;50;*;*;*;*;*
29067 Málaga;Sección 2906702009;*;*;*;*;125;70;*;*;*;*
29067 Málaga;Sección 2906702010;*;*;255;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702011;*;*;105;*;*;135;*;*;*;*
29067 Málaga;Sección 2906702012;*;*;*;*;*;65;*;*;*;95
29067 Málaga;Sección 2906702013;*;90;305;85;95;50;*;*;*;*
29067 Málaga;Sección 2906702014;*;*;125;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702015;*;*;145;*;*;90;*;*;*;*
29067 Málaga;Sección 2906702016;*;*;165;105;135;*;*;*;*;*
29067 Málaga;Sección 2906702017;*;*;620;90;220;55;*;*;*;*
29067 Málaga;Sección 2906702018;*;*;165;*;110;*;*;*;*;*
29067 Málaga;Sección 2906702019;*;*;*;*;*;140;*;*;*;90
29067 Málaga;Sección 2906702020;*;*;*;*;*;145;*;*;*;*
29067 Málaga;Sección 2906702021;*;*;*;*;*;125;*;*;*;*
29067 Málaga;Sección 2906702022;*;*;295;55;*;*;*;*;*;*
29067 Málaga;Sección 2906702023;*;*;*;80;*;115;*;*;*;85
29067 Málaga;Sección 2906702024;*;*;*;*;*;150;*;*;*;130
29067 Málaga;Sección 2906702025;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702026;*;*;135;*;150;175;*;*;*;85
29067 Málaga;Sección 2906702027;*;60;205;80;*;105;*;*;*;*
29067 Málaga;Sección 2906702028;*;*;115;*;120;*;*;*;*;*
29067 Málaga;Sección 2906702029;*;*;*;90;*;75;*;*;*;*
29067 Málaga;Sección 2906702030;*;*;135;75;185;200;*;*;*;*
29067 Málaga;Sección 2906702031;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702032;*;*;165;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702033;*;*;260;165;*;70;*;*;*;*
29067 Málaga;Sección 2906702034;*;*;130;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702035;*;*;160;*;*;75;*;*;*;*
29067 Málaga;Sección 2906702036;*;*;185;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702037;*;125;295;*;70;*;*;*;*;*
29067 Málaga;Sección 2906702038;*;*;175;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702039;*;*;70;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702040;*;*;185;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702041;*;*;390;*;235;155;*;*;*;*
29067 Málaga;Sección 2906702042;*;*;185;105;*;*;*;*;*;*
29067 Málaga;Sección 2906702043;*;135;385;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702044;*;155;330;150;100;*;*;*;*;*
29067 Málaga;Sección 2906702045;*;*;*;*;*;95;*;*;*;70
29067 Málaga;Sección 2906702046;*;*;55;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702047;*;*;370;*;90;*;*;*;*;*
29067 Málaga;Sección 2906702048;*;*;330;130;200;*;*;85;*;*
29067 Málaga;Sección 2906702049;*;85;450;225;65;*;*;*;*;*
29067 Málaga;Sección 2906702050;*;195;680;65;150;*;*;*;*;*
29067 Málaga;Sección 2906703001;*;*;130;*;*;*;*;*;*;*
29067 Málaga;Sección 2906703002;*;*;240;90;*;*;*;*;*;*
29067 Málaga;Sección 2906703003;*;*;105;*;70;220;*;*;*;*
29067 Málaga;Sección 2906704001;*;*;110;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704002;*;*;165;*;85;*;*;*;*;*
29067 Málaga;Sección 2906704003;*;*;140;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704004;*;*;125;65;*;135;*;*;*;*
29067 Málaga;Sección 2906704005;*;*;*;*;*;*;*;80;*;*
29067 Málaga;Sección 2906704006;*;*;75;60;*;140;*;*;*;*
29067 Málaga;Sección 2906704007;*;*;100;*;120;170;*;*;*;*
29067 Málaga;Sección 2906704008;*;*;70;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704009;*;*;170;*;*;200;*;*;*;*
29067 Málaga;Sección 2906704010;*;*;135;65;70;80;*;*;*;*
29067 Málaga;Sección 2906704011;*;*;*;180;*;*;*;*;*;*
29067 Málaga;Sección 2906704012;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704013;*;*;75;*;130;*;*;*;*;*
29067 Málaga;Sección 2906704014;*;*;75;*;*;110;*;*;*;*
29067 Málaga;Sección 2906704015;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906705001;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906705002;*;*;195;*;115;190;*;*;*;135
29067 Málaga;Sección 2906705003;*;*;65;*;*;85;*;*;*;*
29067 Málaga;Sección 2906706001;*;*;190;210;205;260;*;*;60;65
29067 Málaga;Sección 2906706002;*;*;60;135;110;240;*;*;*;*
29067 Málaga;Sección 2906706003;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706004;*;*;*;*;80;85;*;*;*;*
29067 Málaga;Sección 2906706005;*;*;*;*;*;70;*;*;*;*
29067 Málaga;Sección 2906706006;*;*;*;*;*;*;*;*;*;60
29067 Málaga;Sección 2906706007;*;*;*;*;*;*;*;85;*;75
29067 Málaga;Sección 2906706008;*;*;*;*;*;145;*;*;*;*
29067 Málaga;Sección 2906706009;*;*;*;*;120;*;*;*;*;*
29067 Málaga;Sección 2906706010;*;*;*;*;*;*;*;55;*;*
29067 Málaga;Sección 2906706011;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706012;*;110;120;*;65;*;*;*;*;*
29067 Málaga;Sección 2906706013;*;*;75;*;*;140;*;110;*;75
29067 Málaga;Sección 2906706015;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706016;*;*;*;*;*;195;*;*;*;*
29067 Málaga;Sección 2906706017;*;*;120;130;120;90;*;*;*;*
29067 Málaga;Sección 2906706018;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706019;*;*;65;*;*;225;*;105;*;115
29067 Málaga;Sección 2906706020;*;*;90;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706021;*;*;*;*;*;215;*;*;*;130
29067 Málaga;Sección 2906706022;*;*;75;*;95;70;*;*;*;*
29067 Málaga;Sección 2906706023;*;*;*;*;120;135;*;*;65;*
29067 Málaga;Sección 2906706024;*;*;305;*;200;190;*;*;*;155
29067 Málaga;Sección 2906706025;*;*;*;45;75;95;*;135;*;65
29067 Málaga;Sección 2906706026;*;*;*;*;125;75;*;*;*;55
29067 Málaga;Sección 2906706027;*;*;*;*;*;70;*;*;*;*
29067 Málaga;Sección 2906706028;*;*;85;*;*;160;*;*;*;*
29067 Málaga;Sección 2906706029;*;*;200;*;175;360;*;135;*;*
29067 Málaga;Sección 2906706030;*;*;90;*;*;105;*;*;*;*
29067 Málaga;Sección 2906706031;*;*;*;*;100;125;*;*;*;*
29067 Málaga;Sección 2906706032;*;*;*;*;*;150;*;*;*;*
29067 Málaga;Sección 2906706033;*;*;*;*;105;115;*;*;*;*
29067 Málaga;Sección 2906706034;*;*;*;*;*;275;*;*;*;100
29067 Málaga;Sección 2906706035;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706036;*;*;*;*;*;110;*;*;*;*
29067 Málaga;Sección 2906706037;*;*;60;*;*;145;*;60;*;*
29067 Málaga;Sección 2906706038;*;*;*;*;*;110;*;*;*;*
29067 Málaga;Sección 2906706039;*;*;205;100;180;160;*;*;*;*
29067 Málaga;Sección 2906706040;*;*;95;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706041;*;*;*;*;*;120;*;*;*;65
29067 Málaga;Sección 2906706042;*;*;*;*;75;95;*;*;*;*
29067 Málaga;Sección 2906706043;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706044;*;*;*;*;*;190;*;90;*;*
29067 Málaga;Sección 2906706045;*;*;*;*;*;85;*;80;110;80
29067 Málaga;Sección 2906706046;*;*;*;*;90;145;*;*;70;85
29067 Málaga;Sección 2906706047;*;*;*;*;*;90;*;70;55;*
29067 Málaga;Sección 2906707001;*;*;*;*;*;235;*;*;*;150
29067 Málaga;Sección 2906707002;*;*;*;*;*;100;*;*;*;*
29067 Málaga;Sección 2906707003;*;*;*;*;*;*;*;70;*;*
29067 Málaga;Sección 2906707004;*;*;*;*;*;120;*;*;*;135
29067 Málaga;Sección 2906707005;*;*;100;120;*;145;*;95;*;*
29067 Málaga;Sección 2906707006;*;*;*;*;*;65;*;*;*;*
29067 Málaga;Sección 2906707008;*;*;*;*;*;*;*;*;*;240
29067 Málaga;Sección 2906707009;*;*;130;80;*;165;*;*;*;*
29067 Málaga;Sección 2906707010;*;*;*;*;*;250;*;*;*;*
29067 Málaga;Sección 2906707011;*;*;120;*;*;105;*;*;*;85
29067 Málaga;Sección 2906707012;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707013;*;*;*;*;*;100;*;*;*;*
29067 Málaga;Sección 2906707014;*;*;*;*;95;*;*;*;*;*
29067 Málaga;Sección 2906707015;*;*;*;100;*;*;*;*;*;*
29067 Málaga;Sección 2906707016;*;*;95;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707017;*;*;*;*;90;210;*;*;*;*
29067 Málaga;Sección 2906707018;*;*;80;120;*;*;*;*;*;*
29067 Málaga;Sección 2906707019;*;*;*;*;*;245;*;*;*;*
29067 Málaga;Sección 2906707020;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707021;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707022;*;*;*;*;*;*;*;*;*;140
29067 Málaga;Sección 2906707023;*;*;*;*;130;160;*;*;*;170
29067 Málaga;Sección 2906707025;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707026;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707027;*;80;275;*;*;105;*;*;*;*
29067 Málaga;Sección 2906707028;*;*;*;*;*;*;*;*;*;135
29067 Málaga;Sección 2906707029;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707030;*;*;125;125;140;290;*;*;140;90
29067 Málaga;Sección 2906707031;*;*;*;*;*;90;*;*;*;*
29067 Málaga;Sección 2906707032;*;*;*;*;*;115;*;*;*;*
29067 Málaga;Sección 2906707033;*;*;*;*;75;135;*;*;*;*
29067 Málaga;Sección 2906707034;*;*;135;*;145;350;*;*;*;*
29067 Málaga;Sección 2906707035;*;*;*;*;*;355;*;*;*;*
29067 Málaga;Sección 2906707037;*;*;65;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707039;*;*;*;*;85;90;*;*;*;*
29067 Málaga;Sección 2906707040;*;*;70;*;*;*;*;65;*;*
29067 Málaga;Sección 2906707041;*;*;*;60;*;175;*;*;*;*
29067 Málaga;Sección 2906707042;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707043;*;*;95;*;100;155;*;*;70;*
29067 Málaga;Sección 2906707044;*;*;*;*;95;95;*;*;*;*
29067 Málaga;Sección 2906707045;*;*;*;*;*;50;*;*;*;65
29067 Málaga;Sección 2906707046;*;*;*;*;95;180;*;115;*;*
29067 Málaga;Sección 2906707047;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707048;*;*;*;*;105;255;*;100;*;205
29067 Málaga;Sección 2906707049;*;*;*;*;*;80;*;*;*;70
29067 Málaga;Sección 2906707050;*;*;*;*;*;140;*;*;*;*
29067 Málaga;Sección 2906707051;*;*;*;*;*;105;*;*;*;*
29067 Málaga;Sección 2906707052;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707053;*;*;*;*;*;185;*;*;*;90
29067 Málaga;Sección 2906707054;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707055;*;*;*;*;*;105;*;*;*;*
29067 Málaga;Sección 2906707056;*;*;*;55;*;*;*;*;*;*
29067 Málaga;Sección 2906707057;*;*;*;*;*;95;*;*;*;115
29067 Málaga;Sección 2906707058;*;*;90;*;*;100;*;*;*;*
29067 Málaga;Sección 2906707059;*;*;*;*;*;185;*;*;*;*
29067 Málaga;Sección 2906707060;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707061;*;*;*;*;*;130;*;*;*;*
29067 Málaga;Sección 2906707062;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707064;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707065;*;*;*;*;*;*;*;*;125;85
29067 Málaga;Sección 2906707066;*;*;*;*;*;60;*;*;*;85
29067 Málaga;Sección 2906707067;*;*;*;*;95;120;*;85;*;*
29067 Málaga;Sección 2906707068;*;*;*;*;*;135;*;*;*;*
29067 Málaga;Sección 2906707069;*;*;95;*;*;60;*;*;*;*
29067 Málaga;Sección 2906707070;*;*;100;80;*;70;*;*;*;85
29067 Málaga;Sección 2906707071;*;*;80;*;120;140;*;*;75;*
29067 Málaga;Sección 2906707072;*;*;215;95;130;215;*;*;*;*
29067 Málaga;Sección 2906707073;*;*;*;*;*;55;*;*;*;*
29067 Málaga;Sección 2906707074;*;*;150;90;75;*;*;*;*;*
29067 Málaga;Sección 2906707075;*;*;95;*;80;75;*;*;*;*
29067 Málaga;Sección 2906707076;*;*;50;80;*;170;*;95;*;*
29067 Málaga;Sección 2906707077;*;*;*;*;*;160;*;130;*;145
29067 Málaga;Sección 2906707078;*;*;*;75;60;120;*;*;*;*
29067 Málaga;Sección 2906707079;*;*;*;*;*;170;*;70;*;*
29067 Málaga;Sección 2906707080;*;*;*;*;65;*;*;*;*;*
29067 Málaga;Sección 2906707081;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707082;*;*;100;110;160;175;*;*;125;110
29067 Málaga;Sección 2906707083;*;*;*;*;*;*;*;*;*;50
29067 Málaga;Sección 2906707084;*;*;*;*;70;70;*;*;*;*
29067 Málaga;Sección 2906707085;*;*;50;55;*;*;*;*;*;*
29067 Málaga;Sección 2906707086;*;*;145;*;*;160;*;*;*;*
29067 Málaga;Sección 2906707087;*;*;60;75;70;105;*;*;*;*
29067 Málaga;Sección 2906707088;*;*;*;*;*;110;*;*;*;*
29067 Málaga;Sección 2906707089;*;*;85;90;55;150;*;55;*;*
29067 Málaga;Sección 2906707090;*;*;55;55;110;125;*;60;115;*
29067 Málaga;Sección 2906707091;*;*;85;75;125;255;*;*;*;*
29067 Málaga;Sección 2906707092;*;*;185;180;290;405;*;100;120;190
29067 Málaga;Sección 2906707093;*;*;130;*;70;*;*;*;*;*
29067 Málaga;Sección 2906707094;*;*;*;*;*;160;*;*;*;80
29067 Málaga;Sección 2906708001;*;*;120;*;90;220;*;*;*;*
29067 Málaga;Sección 2906708002;*;*;80;*;*;120;*;*;*;*
29067 Málaga;Sección 2906708003;*;*;120;75;100;*;*;*;*;80
29067 Málaga;Sección 2906708004;*;*;*;*;*;80;*;*;*;55
29067 Málaga;Sección 2906708005;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708006;*;*;*;95;*;260;*;*;100;150
29067 Málaga;Sección 2906708007;*;*;95;120;125;65;*;80;65;95
29067 Málaga;Sección 2906708008;*;*;*;*;*;65;*;*;*;*
29067 Málaga;Sección 2906708009;*;*;*;*;*;*;*;*;*;90
