Municipio de residencia;Sección ;Total;1 - Directores y gerentes;2 - Técnicos y profesionales científicos e intelectuales;"3 - Técnicos; profesionales de apoyo";4 - Empleados contables, administrativos y otros empleados de oficina;5 - Trabajadores de los servicios de restauración, personales, protección y vendedores;6 - Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7 - Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8 - Operadores de instalaciones y maquinaria, y montadores;9 - Ocupaciones elementales;No consta
Total;Total;101406;3765;23832;11751;11805;23739;438;8106;4749;10380;2844
Total;Sección 2906701001;684;45;234;90;54;150;3;21;9;42;36
Total;Sección 2906702003;789;30;213;96;96;168;0;72;27;57;27
Total;Sección 2906702004;549;42;279;84;57;57;0;6;0;9;15
Total;Sección 2906702009;633;33;132;60;48;171;0;48;24;102;18
Total;Sección 2906702013;870;84;366;138;108;102;3;21;6;12;30
Total;Sección 2906702020;540;15;120;42;57;153;3;36;15;90;12
Total;Sección 2906702022;627;66;303;75;57;51;0;21;9;18;27
Total;Sección 2906702024;510;6;63;36;36;177;6;39;18;114;15
Total;Sección 2906702026;768;24;147;81;84;204;3;75;33;105;18
Total;Sección 2906702027;909;75;276;99;90;177;3;54;27;66;36
Total;Sección 2906702028;507;27;159;69;63;105;3;24;15;36;12
Total;Sección 2906702030;843;48;192;84;90;180;9;93;30;93;27
Total;Sección 2906702041;846;72;411;105;117;78;0;12;6;12;33
Total;Sección 2906702044;804;81;312;132;117;90;3;21;6;12;30
Total;Sección 2906702047;621;63;339;69;63;48;0;6;3;6;24
Total;Sección 2906702048;771;72;414;99;90;48;6;12;3;9;21
Total;Sección 2906702049;855;69;348;153;117;87;3;18;9;24;33
Total;Sección 2906702050;1140;141;549;150;117;102;3;12;6;24;36
Total;Sección 2906703003;528;24;150;57;51;129;0;33;9;54;21
Total;Sección 2906704001;579;27;192;69;75;123;3;21;6;57;9
Total;Sección 2906704003;561;18;96;51;42;156;6;48;18;105;18
Total;Sección 2906704004;525;18;141;57;69;132;0;24;15;54;15
Total;Sección 2906704007;504;12;138;48;72;120;0;33;15;54;9
Total;Sección 2906704009;582;21;192;78;93;120;0;21;12;33;12
Total;Sección 2906705002;693;21;153;69;75;189;6;48;21;96;18
Total;Sección 2906706002;714;9;84;66;63;219;6;78;63;111;15
Total;Sección 2906706007;567;12;33;30;30;186;3;93;51;123;12
Total;Sección 2906706012;567;15;159;75;72;129;0;27;27;48;15
Total;Sección 2906706013;732;21;123;75;75;189;0;87;36;111;9
Total;Sección 2906706019;537;6;81;48;48;150;3;51;24;108;15
Total;Sección 2906706025;609;9;72;48;63;174;3;75;51;99;12
Total;Sección 2906706028;888;30;228;87;114;225;3;45;30;105;21
Total;Sección 2906706031;513;12;57;45;45;159;0;66;30;81;12
Total;Sección 2906706039;660;24;216;93;75;132;0;30;27;42;21
Total;Sección 2906706048;903;24;192;120;123;216;0;63;63;78;24
Total;Sección 2906707005;657;24;159;93;78;135;3;60;30;57;18
Total;Sección 2906707011;558;18;120;45;66;156;0;36;27;69;21
Total;Sección 2906707023;798;9;75;78;69;243;3;99;48;156;18
Total;Sección 2906707027;657;54;267;93;66;99;3;33;9;12;21
Total;Sección 2906707030;522;9;108;48;51;147;0;42;27;66;15
Total;Sección 2906707034;717;12;129;78;87;207;3;57;33;93;15
Total;Sección 2906707043;687;15;129;96;78;180;3;57;39;75;21
Total;Sección 2906707046;798;30;96;72;72;231;9;102;54;114;18
Total;Sección 2906707048;681;9;93;66;60;219;3;60;39;120;18
Total;Sección 2906707050;600;12;60;45;57;162;3;87;51;108;15
Total;Sección 2906707066;507;6;63;45;48;174;6;42;27;87;12
Total;Sección 2906707067;522;6;66;42;63;165;6;48;24;90;12
Total;Sección 2906707071;534;15;123;60;69;123;0;33;36;57;18
Total;Sección 2906707072;795;27;204;99;84;225;3;36;30;72;18
Total;Sección 2906707074;822;21;195;111;126;204;3;48;24;84;12
Total;Sección 2906707076;636;18;111;72;66;168;6;75;45;57;15
Total;Sección 2906707077;828;24;114;66;69;213;6;126;66;123;21
Total;Sección 2906707082;915;21;96;96;93;267;3;120;54;129;27
Total;Sección 2906707089;720;30;87;81;54;183;3;123;51;81;21
Total;Sección 2906707090;810;24;114;78;75;201;3;126;66;105;24
Total;Sección 2906707091;1227;18;279;141;168;336;3;96;66;87;30
Total;Sección 2906707092;834;12;99;78;99;267;3;78;60;123;15
Total;Sección 2906707095;501;6;66;63;54;138;0;45;45;69;12
Total;Sección 2906708001;702;18;162;90;90;168;0;39;30;75;21
Total;Sección 2906708003;534;18;96;57;63;147;9;51;18;72;12
Total;Sección 2906708006;870;15;69;72;99;279;3;93;78;132;30
Total;Sección 2906708007;666;12;81;57;75;174;6;69;42;120;24
Total;Sección 2906708010;954;24;120;90;123;213;6;144;87;129;21
Total;Sección 2906708011;825;12;66;78;63;189;15;159;66;159;18
Total;Sección 2906708012;1167;30;108;120;99;276;9;192;111;204;18
Total;Sección 2906708013;774;21;54;42;87;201;3;138;87;117;27
Total;Sección 2906708015;510;3;18;33;30;120;9;114;48;108;21
Total;Sección 2906708017;618;12;36;39;39;141;18;129;54;135;15
Total;Sección 2906708018;630;27;132;72;93;159;3;36;36;60;18
Total;Sección 2906708028;984;15;120;111;99;207;6;147;72;174;27
Total;Sección 2906708029;876;18;138;117;126;234;0;84;42;84;30
Total;Sección 2906708030;1266;72;333;183;120;261;9;102;60;99;33
Total;Sección 2906708031;654;24;96;66;69;180;0;78;36;81;18
Total;Sección 2906708033;1056;36;411;147;132;183;3;39;21;51;36
Total;Sección 2906708035;1053;21;147;114;156;252;6;105;75;147;30
Total;Sección 2906708036;537;9;21;33;36;135;9;126;48;105;18
Total;Sección 2906708039;729;9;90;57;78;216;3;72;66;120;18
Total;Sección 2906708040;1023;21;117;99;123;276;6;117;93;147;24
Total;Sección 2906708041;585;18;66;72;69;156;3;63;45;78;12
Total;Sección 2906708042;906;27;198;111;117;249;6;51;42;75;27
Total;Sección 2906708043;1206;51;411;153;162;225;6;72;51;48;30
Total;Sección 2906708044;1119;48;297;135;129;264;3;78;57;72;39
Total;Sección 2906708052;531;21;123;75;72;117;0;39;18;54;12
Total;Sección 2906708054;954;21;153;90;102;270;3;102;60;129;27
Total;Sección 2906708055;654;12;90;54;75;198;3;75;45;81;21
Total;Sección 2906708056;732;30;180;90;108;159;3;48;36;57;21
Total;Sección 2906708057;1221;39;357;192;177;237;6;63;48;72;30
Total;Sección 2906708058;972;42;360;138;147;162;3;42;15;33;24
Total;Sección 2906708059;990;33;282;129;177;207;0;42;45;48;24
Total;Sección 2906708061;1185;33;327;171;153;264;0;87;48;78;24
Total;Sección 2906708063;1272;45;456;171;192;228;3;63;39;57;27
Total;Sección 2906708064;600;15;96;60;75;141;6;60;51;81;18
Total;Sección 2906708065;717;21;264;111;96;117;3;30;27;33;9
Total;Sección 2906708066;1092;15;171;120;153;306;3;93;57;153;21
Total;Sección 2906708067;573;9;138;66;69;135;0;39;27;66;21
Total;Sección 2906708068;807;24;303;126;105;138;3;39;21;24;21
Total;Sección 2906708069;783;30;219;114;87;171;3;60;21;57;24
Total;Sección 2906708070;819;27;249;87;105;198;0;45;30;54;15
Total;Sección 2906708072;696;9;90;63;93;201;3;72;36;105;18
Total;Sección 2906709003;651;33;285;75;72;81;6;21;12;39;27
Total;Sección 2906709006;612;30;213;69;87;108;6;21;9;51;21
Total;Sección 2906709007;972;57;372;138;126;150;3;30;12;51;39
Total;Sección 2906709011;666;9;87;57;81;183;0;72;42;111;21
Total;Sección 2906709012;579;9;96;54;54;171;0;48;36;96;15
Total;Sección 2906709036;654;21;174;72;87;162;3;45;21;57;15
Total;Sección 2906709046;507;21;153;63;60;114;0;24;15;39;15
Total;Sección 2906709052;543;12;150;54;54;144;0;36;12;63;15
Total;Sección 2906709055;525;15;126;63;57;135;3;33;21;51;21
Total;Sección 2906709056;609;18;222;72;72;111;0;24;27;48;15
Total;Sección 2906709083;540;12;141;57;81;129;3;30;18;48;18
Total;Sección 2906710001;789;15;108;75;84;225;3;63;33;159;24
Total;Sección 2906710002;612;9;84;69;54;168;0;60;27;123;21
Total;Sección 2906710003;801;63;300;123;96;129;3;27;21;18;21
Total;Sección 2906710016;675;12;99;78;72;207;0;63;24;93;18
Total;Sección 2906710019;699;36;183;102;93;159;3;39;30;42;15
Total;Sección 2906710021;654;9;60;60;81;237;0;60;60;69;15
Total;Sección 2906710023;636;24;123;81;90;165;3;54;21;63;12
Total;Sección 2906710026;519;9;78;45;69;153;6;42;30;66;21
Total;Sección 2906710034;783;18;117;84;96;228;0;72;63;93;18
Total;Sección 2906710052;588;21;114;87;69;144;3;45;21;63;21
Total;Sección 2906710056;519;21;183;78;63;90;0;30;6;30;9
Total;Sección 2906710066;660;18;204;81;90;138;3;42;18;51;18
Total;Sección 2906710068;699;15;93;90;87;210;3;63;48;81;18
Total;Sección 2906710069;1029;66;339;135;129;192;6;42;33;57;30
Total;Sección 2906710070;975;36;312;135;135;189;0;48;33;48;30
Total;Sección 2906710071;834;45;309;111;93;120;9;36;27;54;27
Total;Sección 2906710072;1479;78;558;183;201;267;3;54;36;57;39
Total;Sección 2906710074;534;15;111;54;60;144;3;51;27;48;21
Total;Sección 2906711002;894;15;117;105;93;291;9;75;42;120;24
Total;Sección 2906711003;894;48;165;123;96;231;3;84;42;75;30
Total;Sección 2906711004;723;57;186;102;78;159;0;48;21;42;27
Total;Sección 2906711006;636;15;45;48;57;222;6;84;39;105;15
Total;Sección 2906711007;939;30;183;111;87;288;3;69;60;81;27
Total;Sección 2906711008;516;60;153;72;69;90;0;18;12;21;27
Total;Sección 2906711010;735;39;174;114;84;180;6;48;30;33;36
Total;Sección 2906711013;621;36;135;102;87;135;3;36;30;39;18
29067 Málaga;Total;101406;3762;23832;11751;11805;23742;438;8103;4749;10380;2844
29067 Málaga;Sección 2906701001;684;48;234;90;54;150;3;18;9;39;33
29067 Málaga;Sección 2906702003;789;30;216;99;93;165;0;72;27;57;27
29067 Málaga;Sección 2906702004;549;42;279;81;57;57;0;6;3;9;15
29067 Málaga;Sección 2906702009;636;30;132;60;45;171;3;48;24;105;15
29067 Málaga;Sección 2906702013;870;84;366;135;108;102;3;21;6;12;30
29067 Málaga;Sección 2906702020;543;15;123;39;57;153;0;36;15;90;9
29067 Málaga;Sección 2906702022;627;66;303;75;57;48;0;21;9;18;27
29067 Málaga;Sección 2906702024;510;6;63;36;36;177;6;39;18;111;15
29067 Málaga;Sección 2906702026;768;24;144;81;84;204;3;75;30;102;18
29067 Málaga;Sección 2906702027;909;78;276;99;90;177;3;54;30;66;36
29067 Málaga;Sección 2906702028;507;24;159;69;63;108;3;24;15;36;15
29067 Málaga;Sección 2906702030;843;48;192;81;90;180;9;93;30;93;27
29067 Málaga;Sección 2906702041;846;72;411;105;117;78;3;12;9;12;30
29067 Málaga;Sección 2906702044;801;81;312;132;117;90;3;21;6;12;30
29067 Málaga;Sección 2906702047;621;60;339;69;60;48;3;6;3;6;24
29067 Málaga;Sección 2906702048;771;72;417;99;90;48;3;12;3;12;24
29067 Málaga;Sección 2906702049;852;69;348;150;114;84;3;18;9;24;33
29067 Málaga;Sección 2906702050;1140;144;549;150;117;102;3;12;3;21;36
29067 Málaga;Sección 2906703003;528;24;150;60;48;129;0;33;9;57;21
29067 Málaga;Sección 2906704001;579;27;189;69;75;120;3;21;6;57;6
29067 Málaga;Sección 2906704003;561;18;96;51;45;156;3;48;21;108;18
29067 Málaga;Sección 2906704004;525;18;141;57;69;135;0;24;15;54;15
29067 Málaga;Sección 2906704007;501;12;138;48;75;120;0;36;15;54;9
29067 Málaga;Sección 2906704009;582;18;195;78;93;120;0;24;12;33;15
29067 Málaga;Sección 2906705002;690;18;153;69;75;189;6;48;24;96;15
29067 Málaga;Sección 2906706002;714;9;84;66;60;219;6;78;63;111;15
29067 Málaga;Sección 2906706007;567;12;33;30;30;183;3;96;48;120;12
29067 Málaga;Sección 2906706012;567;15;159;75;72;129;0;24;24;48;15
29067 Málaga;Sección 2906706013;732;21;123;78;75;189;3;90;39;111;9
29067 Málaga;Sección 2906706019;537;6;81;48;48;150;3;51;21;108;18
29067 Málaga;Sección 2906706025;609;9;72;48;63;174;6;75;48;96;12
29067 Málaga;Sección 2906706028;888;30;225;87;114;225;3;42;33;105;21
29067 Málaga;Sección 2906706031;513;12;57;45;48;156;0;63;30;84;12
29067 Málaga;Sección 2906706039;660;24;213;90;75;132;0;30;27;42;18
29067 Málaga;Sección 2906706048;906;24;195;120;123;216;0;63;63;75;24
29067 Málaga;Sección 2906707005;657;21;159;93;78;135;0;60;30;54;21
29067 Málaga;Sección 2906707011;561;18;120;45;66;156;0;39;30;69;21
29067 Málaga;Sección 2906707023;798;9;75;75;69;240;6;99;48;156;18
29067 Málaga;Sección 2906707027;657;54;267;93;63;99;3;33;12;12;21
29067 Málaga;Sección 2906707030;522;9;108;48;51;147;0;42;30;66;18
29067 Málaga;Sección 2906707034;717;9;126;78;90;207;3;60;30;96;15
29067 Málaga;Sección 2906707043;684;15;129;96;78;180;0;57;36;75;21
29067 Málaga;Sección 2906707046;798;30;99;69;72;231;9;102;54;111;18
29067 Málaga;Sección 2906707048;681;9;93;66;63;216;3;60;39;117;15
29067 Málaga;Sección 2906707050;600;15;60;45;57;162;3;87;51;108;15
29067 Málaga;Sección 2906707066;504;6;66;42;45;171;3;42;27;87;12
29067 Málaga;Sección 2906707067;525;6;63;42;63;165;6;51;24;90;15
29067 Málaga;Sección 2906707071;534;15;123;60;66;126;0;33;36;54;18
29067 Málaga;Sección 2906707072;795;24;204;99;84;225;0;36;30;75;21
29067 Málaga;Sección 2906707074;822;21;195;108;126;201;3;51;24;84;12
29067 Málaga;Sección 2906707076;633;18;111;72;63;168;6;75;42;54;15
29067 Málaga;Sección 2906707077;831;24;111;69;69;213;9;126;66;123;21
29067 Málaga;Sección 2906707082;918;21;96;96;93;270;3;123;54;132;30
29067 Málaga;Sección 2906707089;720;30;84;81;57;183;3;123;54;81;21
29067 Málaga;Sección 2906707090;813;24;114;78;75;204;0;126;63;105;21
29067 Málaga;Sección 2906707091;1227;18;279;141;171;333;6;96;66;87;30
29067 Málaga;Sección 2906707092;834;12;99;78;99;267;3;78;60;120;18
29067 Málaga;Sección 2906707095;501;6;66;63;54;141;3;45;48;69;12
29067 Málaga;Sección 2906708001;705;21;162;93;90;168;0;39;30;78;21
29067 Málaga;Sección 2906708003;534;18;93;54;63;147;6;51;18;72;12
29067 Málaga;Sección 2906708006;870;15;72;72;99;282;3;93;78;132;33
29067 Málaga;Sección 2906708007;666;15;81;60;75;174;6;72;42;120;24
29067 Málaga;Sección 2906708010;957;24;123;90;123;210;6;144;87;129;21
29067 Málaga;Sección 2906708011;825;12;66;78;63;189;15;156;66;159;18
29067 Málaga;Sección 2906708012;1167;30;108;123;99;279;9;189;111;201;18
29067 Málaga;Sección 2906708013;774;21;54;42;87;201;3;138;87;117;24
29067 Málaga;Sección 2906708015;510;3;18;33;30;120;9;114;48;111;21
29067 Málaga;Sección 2906708017;618;12;36;36;39;141;18;129;54;138;18
29067 Málaga;Sección 2906708018;630;27;132;72;90;159;3;39;36;57;18
29067 Málaga;Sección 2906708028;984;15;123;111;99;207;9;147;72;174;27
29067 Málaga;Sección 2906708029;876;15;138;120;126;234;3;84;42;87;30
29067 Málaga;Sección 2906708030;1266;72;333;186;120;261;6;99;60;96;33
29067 Málaga;Sección 2906708031;654;24;96;66;69;180;0;78;33;81;21
29067 Málaga;Sección 2906708033;1056;36;411;147;132;183;0;39;21;51;33
29067 Málaga;Sección 2906708035;1050;21;147;114;156;252;6;108;75;144;27
29067 Málaga;Sección 2906708036;537;9;21;33;36;132;9;126;48;108;18
29067 Málaga;Sección 2906708039;729;9;90;60;78;219;3;72;66;117;18
29067 Málaga;Sección 2906708040;1023;21;117;99;123;276;6;114;90;147;27
29067 Málaga;Sección 2906708041;585;18;66;72;69;156;3;63;42;78;12
29067 Málaga;Sección 2906708042;906;30;198;111;120;249;3;54;45;72;30
29067 Málaga;Sección 2906708043;1206;51;411;150;162;225;9;72;51;48;33
