NOMBRE;Distrito de residencia;NUMERO;he_pct
BAILEN-MIRAFLORES;Distrito 2906704;4.0;0.3206933911159263
CAMPANILLAS;Distrito 2906709;9.0;0.23175202755249416
CARRETERA DE CADIZ;Distrito 2906707;7.0;0.14735780243656396
CENTRO;Distrito 2906701;1.0;0.4654205607476635
CHURRIANA;Distrito 2906708;8.0;0.19101929092805006
CIUDAD JARDIN;Distrito 2906703;3.0;0.37467700258397935
CRUZ DE HUMILLADERO;Distrito 2906706;6.0;0.14547604967474867
ESTE;Distrito 2906702;2.0;0.44814278822961895
PALMA-PALMILLA;Distrito 2906705;5.0;0.3130630630630631
PUERTO DE LA TORRE;Distrito 2906710;10.0;0.18149332330261425
TEATINOS-UNIVERSIDAD;Distrito 2906711;11.0;0.17576213774934135
