Municipio de residencia;Distrito de residencia;Total;Analfabetos;Sin estudios;Fue a la escuela 5 años o más pero no llegó al último curso de ESO, EGB o Bachiller Elemental;Llegó al último curso de ESO, EGB o Bachiller Elemental o tiene el Certificado de Escolaridad o de Estudios Primarios;Bachiller, BUP, Bachiller Superior, COU, PREU;FP grado medio, FP I, Oficialia Industrial o equivalente, Grado Medio de Música y Danza, Certificados de Escuelas Oficiales de Idiomas;FP grado superior, FPII, Maestria industrial o equivalente;Diplomatura universitaria, Aquitectura Técnica, Ingeniería Técnica o equivalente;Grado Universitario o equivalente;Licenciatura, Arquitectura, Ingeniería o equivalente;Máster oficial univeritario (a partir de 2006) , Especialidades Médicas o análogas;Doctorado
Total;Total;184845;440;4045;15405;44810;27370;14935;17435;22890;3660;28305;2820;2730
29067 Málaga;Total;184845;440;4045;15405;44810;27370;14935;17435;22890;3660;28305;2820;2730
29067 Málaga;Distrito 2906702;25255;95;430;1020;2635;3570;1190;1210;4210;715;8250;990;935
29067 Málaga;Distrito 2906704;5600;50*;95*;260;1045;1080;190;525;795;140;1285;40*;105
29067 Málaga;Distrito 2906706;19120;40*;430;1745;5285;2660;1945;1930;2320;130;2390;100;150
29067 Málaga;Distrito 2906707;34960;35*;1020;3785;9575;5490;3450;3440;3785;385;3320;335;340
29067 Málaga;Distrito 2906708;37690;30*;870;2975;9715;5235;3030;4625;4525;760;4940;500;490
29067 Málaga;Distrito 2906709;25720;125;475;2375;5855;3965;1900;1920;3275;910;4085;430;410
29067 Málaga;Distrito 2906710;29745;45*;620;2750;8670;4075;2775;3245;3095;495;3360;385;220
29067 Málaga;Distrito 2906711;6760;25*;105;490;2030;1295;460;545;885;125;670;45*;90
29067 Málaga;Distrito 2906701;0;0;*;*;105;435;*;145;365;*;605;*;115
29067 Málaga;Distrito 2906703;0;0;*;*;195;170;*;115;175;*;555;*;*
29067 Málaga;Distrito 2906705;0;0;*;*;390;120;60;95;140;*;190;*;*
