Municipio de residencia;Distrito ;Total;Analfabetos;Estudios primarios incompletos;Educación primaria;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional;Educación postsecundaria no superior;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes, títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Doctorado universitario
Total;Total;206367;54;1941;9513;53946;21618;21240;435;23097;29112;29472;11223;4716
29067 Málaga;Total;206367;54;1941;9513;53946;21621;21240;438;23094;29112;29472;11223;4716
29067 Málaga;Distrito 2906701;1608;0;18;84;141;168;69;0;90;288;480;159;108
29067 Málaga;Distrito 2906702;24873;0;141;708;3102;2538;1374;39;1656;4170;7419;2340;1389
29067 Málaga;Distrito 2906703;1164;0;21;60;144;147;81;3;90;180;270;105;60
29067 Málaga;Distrito 2906704;5538;0;54;207;930;648;411;12;549;951;1188;399;189
29067 Málaga;Distrito 2906705;1335;0;18;63;264;144;120;6;108;192;264;108;45
29067 Málaga;Distrito 2906706;20292;3;174;909;6588;2076;2508;33;2514;2535;1935;792;225
29067 Málaga;Distrito 2906707;38655;15;474;2220;12099;3990;4572;87;4569;4938;3675;1524;498
29067 Málaga;Distrito 2906708;46029;6;279;1644;12609;4611;5100;111;6084;6795;5595;2268;930
29067 Málaga;Distrito 2906709;26997;12;399;1638;6423;2823;2616;39;2790;4005;3954;1653;651
29067 Málaga;Distrito 2906710;31905;9;309;1626;9456;3462;3513;90;3687;3960;3792;1497;501
29067 Málaga;Distrito 2906711;7968;3;57;351;2199;1017;870;15;963;1095;903;378;120
