Municipio de residencia;Distrito ;Total;Educación primaria e inferior;Primera etapa de Educación Secundaria y similar;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;Educación Superior
Total;Total;206364;11508;53946;43296;97617
29067 Málaga;Total;206364;11508;53946;43293;97617
29067 Málaga;Distrito 2906701;1608;105;138;240;1125
29067 Málaga;Distrito 2906702;24873;852;3102;3948;16974
29067 Málaga;Distrito 2906703;1167;78;144;231;711
29067 Málaga;Distrito 2906704;5538;264;933;1074;3273
29067 Málaga;Distrito 2906705;1335;84;264;270;714
29067 Málaga;Distrito 2906706;20292;1083;6585;4620;8001
29067 Málaga;Distrito 2906707;38658;2706;12099;8643;15201
29067 Málaga;Distrito 2906708;46026;1926;12606;9825;21669
29067 Málaga;Distrito 2906709;27000;2049;6423;5475;13050
29067 Málaga;Distrito 2906710;31905;1947;9453;7068;13437
29067 Málaga;Distrito 2906711;7968;411;2196;1902;3459
