Municipio de residencia;Seccion de residencia;Analfabetos;Sin estudios;Fue a la escuela 5 años o más pero no llegó al último curso de ESO, EGB o Bachiller Elemental;Llegó al último curso de ESO, EGB o Bachiller Elemental o tiene el Certificado de Escolaridad o de Estudios Primarios;Bachiller, BUP, Bachiller Superior, COU, PREU;FP grado medio, FP I, Oficialia Industrial o equivalente, Grado Medio de Música y Danza, Certificados de Escuelas Oficiales de Idiomas;FP grado superior, FPII, Maestria industrial o equivalente;Diplomatura universitaria, Aquitectura Técnica, Ingeniería Técnica o equivalente;Grado Universitario o equivalente;Licenciatura, Arquitectura, Ingeniería o equivalente;Máster oficial univeritario (a partir de 2006) , Especialidades Médicas o análogas;Doctorado
29067 Málaga;Sección 2906701001;*;*;*;*;215;*;*;125;*;205;*;*
29067 Málaga;Sección 2906701002;*;*;*;*;*;*;*;*;*;110;*;*
29067 Málaga;Sección 2906701003;*;*;*;*;*;*;*;*;*;215;*;*
29067 Málaga;Sección 2906701004;*;*;*;*;130;*;*;*;*;75;*;*
29067 Málaga;Sección 2906702001;*;*;*;*;*;*;*;*;*;95;*;*
29067 Málaga;Sección 2906702002;*;*;*;*;55;*;*;*;*;105;*;*
29067 Málaga;Sección 2906702003;*;*;*;95;145;*;85;230;*;220;*;*
29067 Málaga;Sección 2906702004;*;*;*;*;90;*;*;70;*;340;*;*
29067 Málaga;Sección 2906702005;*;*;*;*;*;*;*;*;*;115;*;75
29067 Málaga;Sección 2906702006;*;*;*;*;*;*;*;70;*;280;*;*
29067 Málaga;Sección 2906702007;*;*;*;*;*;*;*;140;*;175;*;*
29067 Málaga;Sección 2906702008;*;*;*;*;*;*;*;95;*;175;65;*
29067 Málaga;Sección 2906702009;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702010;*;*;*;*;*;*;*;*;*;290;*;*
29067 Málaga;Sección 2906702011;*;*;*;*;*;*;*;55;*;*;*;*
29067 Málaga;Sección 2906702012;*;*;*;75;*;90;*;*;*;*;*;*
29067 Málaga;Sección 2906702013;*;*;*;*;135;*;*;100;*;270;*;*
29067 Málaga;Sección 2906702014;*;*;*;*;*;*;*;90;*;165;*;*
29067 Málaga;Sección 2906702015;*;*;*;*;*;*;*;*;*;155;*;*
29067 Málaga;Sección 2906702016;*;*;*;*;*;*;*;80;*;290;*;*
29067 Málaga;Sección 2906702017;*;*;*;65;60;*;65;335;*;365;*;*
29067 Málaga;Sección 2906702018;*;*;*;*;110;*;*;*;*;120;*;*
29067 Málaga;Sección 2906702019;*;*;*;60;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702020;*;*;*;160;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702021;*;*;*;*;*;*;*;*;*;50;*;*
29067 Málaga;Sección 2906702022;*;*;*;85;*;*;*;*;*;275;*;*
29067 Málaga;Sección 2906702023;*;*;*;70;*;*;*;105;*;*;*;*
29067 Málaga;Sección 2906702024;*;*;90;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702025;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702026;*;*;*;240;*;*;80;50;*;100;*;*
29067 Málaga;Sección 2906702027;*;*;*;110;110;*;*;110;*;185;*;*
29067 Málaga;Sección 2906702028;*;*;*;145;*;*;*;75;*;90;*;*
29067 Málaga;Sección 2906702029;*;*;*;*;80;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702030;*;*;*;75;120;*;145;*;*;175;*;*
29067 Málaga;Sección 2906702031;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702032;*;*;*;*;*;*;*;115;*;100;*;*
29067 Málaga;Sección 2906702033;*;*;*;*;195;*;*;100;*;260;*;*
29067 Málaga;Sección 2906702034;*;*;*;*;*;*;*;*;*;155;*;*
29067 Málaga;Sección 2906702035;*;*;*;*;*;*;*;*;*;185;*;*
29067 Málaga;Sección 2906702036;*;*;*;*;*;*;*;*;*;75;*;*
