Municipio de residencia;Sección ;Total;Analfabetos;Estudios primarios incompletos;Educación primaria;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional;Educación postsecundaria no superior;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes, títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Doctorado universitario
Total;Total;101406;18;624;3447;23379;10701;10077;207;12120;15813;16341;6087;2598
Total;Sección 2906701001;684;0;9;39;60;72;36;0;45;141;171;63;51
Total;Sección 2906702003;792;0;0;18;171;96;75;0;78;126;147;54;24
Total;Sección 2906702004;549;0;3;6;15;51;15;0;21;96;231;63;48
Total;Sección 2906702009;636;0;6;33;177;42;78;3;51;75;105;42;24
Total;Sección 2906702013;870;0;3;3;33;99;24;0;48;180;324;84;66
Total;Sección 2906702020;540;0;6;42;138;60;42;3;60;72;75;33;9
Total;Sección 2906702022;627;0;0;18;30;45;12;0;30;123;255;69;39
Total;Sección 2906702024;510;0;9;39;177;57;66;3;54;45;36;12;6
Total;Sección 2906702026;768;0;6;21;222;78;96;3;81;111;102;33;18
Total;Sección 2906702027;909;0;6;30;165;90;66;0;84;132;225;78;39
Total;Sección 2906702028;510;0;6;18;72;75;27;3;42;99;111;39;18
Total;Sección 2906702030;843;0;6;42;192;78;81;3;84;105;186;42;24
Total;Sección 2906702041;846;0;0;6;33;72;21;0;33;156;357;117;54
Total;Sección 2906702044;804;0;3;3;42;99;21;0;54;165;267;84;63
Total;Sección 2906702047;618;0;0;3;15;45;6;0;24;123;291;63;51
Total;Sección 2906702048;774;0;0;3;15;54;9;0;27;150;333;129;57
Total;Sección 2906702049;855;0;0;6;30;102;33;0;54;180;291;90;72
Total;Sección 2906702050;1140;0;6;12;36;108;30;0;39;213;438;186;69
Total;Sección 2906703003;531;0;12;27;75;60;45;3;45;84;105;48;24
Total;Sección 2906704001;579;0;3;18;69;69;33;3;42;108;153;48;30
Total;Sección 2906704003;558;0;9;33;183;60;51;3;42;51;84;27;15
Total;Sección 2906704004;525;0;3;15;111;72;33;0;54;78;93;45;21
Total;Sección 2906704007;501;0;3;27;90;54;42;0;51;87;108;24;15
Total;Sección 2906704009;582;0;6;12;66;69;39;0;63;117;153;27;27
Total;Sección 2906705002;693;0;12;30;192;63;75;3;63;81;120;36;18
Total;Sección 2906706002;717;0;0;24;240;69;135;3;93;69;54;21;3
Total;Sección 2906706007;570;0;9;24;303;42;78;3;66;21;12;12;0
Total;Sección 2906706012;567;0;3;21;105;66;30;0;57;120;120;33;9
Total;Sección 2906706013;735;0;9;51;204;63;93;0;87;102;84;21;15
Total;Sección 2906706019;537;0;3;36;189;51;60;0;51;57;63;15;6
Total;Sección 2906706025;609;0;6;27;219;57;96;0;78;66;36;18;3
Total;Sección 2906706028;888;0;6;42;171;108;75;0;102;153;156;51;27
Total;Sección 2906706031;513;0;0;24;198;45;75;3;63;45;39;18;3
Total;Sección 2906706039;660;0;0;15;96;84;51;0;84;141;123;51;15
Total;Sección 2906706048;906;0;0;6;198;102;114;0;150;159;126;36;15
Total;Sección 2906707005;654;0;0;15;129;69;69;6;102;120;99;36;15
Total;Sección 2906707011;561;0;3;39;129;63;57;3;45;87;81;42;12
Total;Sección 2906707023;795;0;9;42;312;63;105;3;114;75;54;12;6
Total;Sección 2906707027;660;0;0;15;72;75;45;0;51;147;156;63;36
Total;Sección 2906707030;522;0;3;12;135;57;60;3;78;96;54;24;6
Total;Sección 2906707034;717;0;15;33;201;72;84;6;90;87;90;36;3
Total;Sección 2906707043;687;0;6;27;153;72;93;0;114;111;69;33;9
Total;Sección 2906707046;798;0;12;33;282;96;111;3;96;84;54;24;9
Total;Sección 2906707048;684;0;12;27;225;72;99;3;90;78;54;15;6
Total;Sección 2906707050;600;0;6;36;261;54;57;3;84;51;30;18;3
Total;Sección 2906707066;507;0;9;21;168;57;51;3;66;60;48;15;6
Total;Sección 2906707067;525;0;6;45;156;54;63;3;60;69;51;15;6
Total;Sección 2906707071;531;0;3;21;99;60;78;0;69;87;81;33;6
Total;Sección 2906707072;795;0;3;18;165;87;96;0;126;147;96;42;15
Total;Sección 2906707074;822;0;6;33;159;66;75;3;126;135;135;66;18
Total;Sección 2906707076;633;0;0;30;186;72;75;3;87;81;57;30;12
Total;Sección 2906707077;831;0;6;39;309;87;99;0;90;111;51;33;6
Total;Sección 2906707082;915;0;6;36;315;99;144;0;159;87;45;24;6
Total;Sección 2906707089;720;0;6;30;276;60;90;0;93;90;48;24;6
Total;Sección 2906707090;813;0;3;33;270;72;123;0;114;105;57;27;3
Total;Sección 2906707091;1227;0;0;18;264;135;147;0;213;216;156;66;12
Total;Sección 2906707092;834;0;0;18;291;84;93;0;141;114;72;9;3
Total;Sección 2906707095;501;0;0;6;162;57;60;0;87;75;39;6;3
Total;Sección 2906708001;705;0;0;15;150;75;90;3;87;126;96;42;18
Total;Sección 2906708003;534;0;9;27;150;69;60;0;72;75;51;18;6
Total;Sección 2906708006;870;0;0;27;324;84;138;0;147;90;39;12;3
Total;Sección 2906708007;666;0;6;33;246;69;87;6;84;84;39;15;3
Total;Sección 2906708010;954;0;3;51;321;96;129;0;135;117;57;39;6
Total;Sección 2906708011;825;0;3;54;357;66;120;6;90;69;33;15;9
Total;Sección 2906708012;1170;0;9;72;471;78;183;3;141;105;57;33;12
Total;Sección 2906708013;774;0;9;57;297;81;108;0;99;75;30;18;3
Total;Sección 2906708015;513;0;6;39;279;36;63;0;45;21;12;9;3
Total;Sección 2906708017;618;0;3;48;324;36;63;3;66;36;24;12;3
Total;Sección 2906708018;630;0;0;6;150;78;60;0;90;99;93;39;18
Total;Sección 2906708028;984;0;9;51;345;87;108;0;141;120;96;21;6
Total;Sección 2906708029;876;0;12;33;234;81;93;3;132;135;96;33;21
Total;Sección 2906708030;1266;0;6;27;252;147;105;3;153;240;198;93;42
Total;Sección 2906708031;654;0;3;39;213;48;102;0;78;90;45;24;9
Total;Sección 2906708033;1053;0;3;12;111;105;63;0;111;210;255;123;57
Total;Sección 2906708035;1050;0;3;30;294;132;141;0;180;144;90;33;6
Total;Sección 2906708036;540;0;9;33;282;42;72;0;51;27;9;6;3
Total;Sección 2906708039;729;0;3;27;273;72;99;3;96;72;54;30;3
Total;Sección 2906708040;1023;0;3;36;354;105;144;3;141;114;84;33;3
Total;Sección 2906708041;585;0;3;27;195;69;78;3;90;57;36;18;6
Total;Sección 2906708042;909;0;6;21;192;105;87;6;129;162;135;51;12
Total;Sección 2906708043;1209;0;3;21;144;129;84;3;153;279;240;102;48
Total;Sección 2906708044;1119;0;0;33;234;111;123;3;159;213;147;78;18
Total;Sección 2906708052;531;0;3;12;108;72;63;3;57;99;69;30;12
Total;Sección 2906708054;954;3;3;24;333;99;105;0;144;123;78;30;12
Total;Sección 2906708055;654;0;6;24;207;78;96;0;93;69;51;21;9
