Municipio de residencia;Distrito de residencia;Total;Soltero/a;Casado/a;Separado/a;Divorciado/a;Viudo/a
29067 Málaga;Total;189395;66485;107200;4020;9535;2155
29067 Málaga;Distrito 2906701;1905;850;885;90*;70;10*
29067 Málaga;Distrito 2906702;25255;7145;15870;545;1405;285
29067 Málaga;Distrito 2906703;1400;855;475;0;45*;25*
29067 Málaga;Distrito 2906704;5600;2320;2635;240;335;65
29067 Málaga;Distrito 2906705;1250;740;375;0;85;45*
29067 Málaga;Distrito 2906706;19120;7230;10155;380;1145;210
29067 Málaga;Distrito 2906707;34960;12815;19390;790;1550;415
29067 Málaga;Distrito 2906708;37690;11715;23515;560;1620;280
29067 Málaga;Distrito 2906709;25720;10705;12535;680;1345;455
29067 Málaga;Distrito 2906710;29745;9950;17165;550;1735;345
29067 Málaga;Distrito 2906711;6760;2160;4195;180;195;25*
