Municipio de residencia;Distrito ;Total;No consta;Soltero/a;Casado/a;Viudo/a;Divorciado/a o Separado/a
29067 Málaga;Total;206367;4281;80163;98628;2517;20778
29067 Málaga;Distrito 2906701;1608;42;738;612;30;186
29067 Málaga;Distrito 2906702;24876;468;8298;13266;402;2442
29067 Málaga;Distrito 2906703;1164;27;684;330;18;111
29067 Málaga;Distrito 2906704;5535;147;2409;2379;60;540
29067 Málaga;Distrito 2906705;1335;36;693;444;15;147
29067 Málaga;Distrito 2906706;20289;516;8454;8895;276;2151
29067 Málaga;Distrito 2906707;38655;969;15765;17421;444;4053
29067 Málaga;Distrito 2906708;46026;645;15981;24540;459;4401
29067 Málaga;Distrito 2906709;26997;729;11817;11373;366;2712
29067 Málaga;Distrito 2906710;31905;612;12606;15114;363;3207
29067 Málaga;Distrito 2906711;7971;90;2709;4251;84;834
