Municipio de residencia;Sección ;Total;No consta;Soltero/a;Casado/a;Viudo/a;Divorciado/a o Separado/a
Total;Total;101406;1506;35208;53862;1080;9753
Total;Sección 2906701001;684;30;321;237;9;87
Total;Sección 2906702003;789;12;252;420;9;102
Total;Sección 2906702004;549;6;156;324;9;51
Total;Sección 2906702009;636;21;216;336;9;51
Total;Sección 2906702013;870;12;261;498;15;84
Total;Sección 2906702020;543;24;213;240;9;60
Total;Sección 2906702022;627;3;183;384;9;45
Total;Sección 2906702024;510;27;210;216;3;51
Total;Sección 2906702026;768;24;264;393;12;75
Total;Sección 2906702027;909;15;294;492;9;99
Total;Sección 2906702028;507;6;180;249;9;63
Total;Sección 2906702030;843;21;285;462;6;69
Total;Sección 2906702041;849;9;213;558;9;60
Total;Sección 2906702044;801;9;216;486;18;78
Total;Sección 2906702047;621;0;144;402;9;63
Total;Sección 2906702048;774;9;213;471;12;69
Total;Sección 2906702049;852;3;204;537;15;96
Total;Sección 2906702050;1140;9;291;735;18;90
Total;Sección 2906703003;528;12;303;153;6;54
Total;Sección 2906704001;579;21;291;210;9;54
Total;Sección 2906704003;561;21;288;204;6;39
Total;Sección 2906704004;525;15;201;252;6;51
Total;Sección 2906704007;504;21;222;213;3;42
Total;Sección 2906704009;582;6;222;273;6;75
Total;Sección 2906705002;690;24;342;231;9;87
Total;Sección 2906706002;717;6;228;393;12;75
Total;Sección 2906706007;567;15;222;279;3;48
Total;Sección 2906706012;567;9;237;267;9;48
Total;Sección 2906706013;732;24;315;312;6;75
Total;Sección 2906706019;537;24;258;186;6;60
Total;Sección 2906706025;609;18;240;276;15;60
Total;Sección 2906706028;888;21;375;390;12;90
Total;Sección 2906706031;513;15;195;237;6;60
Total;Sección 2906706039;660;6;255;321;9;66
Total;Sección 2906706048;906;6;270;537;9;81
Total;Sección 2906707005;657;9;186;396;6;63
Total;Sección 2906707011;561;15;285;207;0;51
Total;Sección 2906707023;795;12;300;399;3;84
Total;Sección 2906707027;660;12;219;378;9;45
Total;Sección 2906707030;522;6;144;312;12;48
Total;Sección 2906707034;717;15;288;315;6;90
Total;Sección 2906707043;687;9;288;324;6;57
Total;Sección 2906707046;798;18;276;420;6;78
Total;Sección 2906707048;684;15;240;345;6;78
Total;Sección 2906707050;600;21;195;315;6;63
Total;Sección 2906707066;504;15;201;225;3;60
Total;Sección 2906707067;525;18;219;213;3;72
Total;Sección 2906707071;534;6;207;270;6;45
Total;Sección 2906707072;798;12;249;441;9;87
Total;Sección 2906707074;822;6;372;351;9;84
Total;Sección 2906707076;633;9;207;363;12;45
Total;Sección 2906707077;831;9;288;453;9;69
Total;Sección 2906707082;918;15;318;459;9;117
Total;Sección 2906707089;720;15;258;366;6;72
Total;Sección 2906707090;813;18;264;441;9;84
Total;Sección 2906707091;1227;3;351;756;6;111
Total;Sección 2906707092;837;12;264;450;12;93
Total;Sección 2906707095;501;3;180;258;6;57
Total;Sección 2906708001;705;3;270;330;12;87
Total;Sección 2906708003;537;9;189;270;6;63
Total;Sección 2906708006;870;15;273;492;9;84
Total;Sección 2906708007;666;12;234;342;9;69
Total;Sección 2906708010;954;9;324;507;12;105
Total;Sección 2906708011;825;9;339;408;6;63
