Municipio de residencia;Distrito de residencia;Total;España;Otros Estados miembros de la Unión Europea;Otros Estados de Europa fuera de la Unión Europea;África;América del Norte;América Central, Sur y Caribe;Asia;Oceanía
29067 Málaga;Total;186750;173425;3440;1385;2160;125*;5360;840;15*
29067 Málaga;Distrito 2906701;1905;1550;75*;30*;0;95*;155*;0;0
29067 Málaga;Distrito 2906702;25255;23525;590;310;240;0;595;0;0
29067 Málaga;Distrito 2906704;5600;5185;60*;40*;20*;0;155;140*;0
29067 Málaga;Distrito 2906706;19120;18070;215;20*;250;0;385;160*;15*
29067 Málaga;Distrito 2906707;34960;32230;545;50*;590;30*;1285;225;0
29067 Málaga;Distrito 2906708;37690;36280;650;65*;80*;0;580;40*;0
29067 Málaga;Distrito 2906709;25720;22410;715;620;430;0;1285;255;0
29067 Málaga;Distrito 2906710;29745;28000;295;205;355;0;885;0;0
29067 Málaga;Distrito 2906711;6760;6170;295;40*;190*;0;40*;20*;0
29067 Málaga;Distrito 2906703;;1235;*;0;*;0;*;*;0
29067 Málaga;Distrito 2906705;;1035;*;0;*;0;60;*;0
