Municipio de residencia;Distrito ;Total;Española;Unión Europea (sin España);Resto de Europa;África;América del Norte;Centro América y Caribe;Sudamérica;Asia;Oceanía;Apátrida
29067 Málaga;Total;206367;191352;3672;2478;2808;123;450;3516;1947;9;12
29067 Málaga;Distrito 2906701;1608;1347;108;48;24;6;6;51;15;0;0
29067 Málaga;Distrito 2906702;24876;23385;594;261;153;27;48;294;117;0;0
29067 Málaga;Distrito 2906703;1164;921;111;27;30;3;3;54;6;0;0
29067 Málaga;Distrito 2906704;5538;4944;207;81;75;6;24;135;63;3;0
29067 Málaga;Distrito 2906705;1335;1125;96;27;21;6;0;42;15;0;0
29067 Málaga;Distrito 2906706;20289;18951;342;171;270;12;42;363;141;0;0
29067 Málaga;Distrito 2906707;38658;35235;591;435;1041;18;102;864;363;0;6
29067 Málaga;Distrito 2906708;46026;44304;387;198;312;18;57;432;309;3;0
29067 Málaga;Distrito 2906709;26997;23928;618;651;540;15;84;744;417;0;3
29067 Málaga;Distrito 2906710;31905;29712;465;516;285;12;72;456;390;3;0
29067 Málaga;Distrito 2906711;7968;7503;150;60;54;3;9;81;108;0;0
