Municipio de residencia;Sección ;Total;Española;Unión Europea (sin España);Resto de Europa;África;América del Norte;Centro América y Caribe;Sudamérica;Asia;Oceanía;Apátrida
Total;Total;101409;96303;1536;738;762;54;165;1122;720;6;3
Total;Sección 2906701001;687;561;63;18;15;3;6;15;9;0;0
Total;Sección 2906702003;789;771;9;0;3;0;0;3;0;0;0
Total;Sección 2906702004;549;513;21;6;0;0;0;0;6;0;0
Total;Sección 2906702009;633;591;6;12;9;0;3;9;3;0;0
Total;Sección 2906702013;867;810;39;6;3;3;0;6;3;0;0
Total;Sección 2906702020;540;462;24;9;9;0;0;21;18;0;0
Total;Sección 2906702022;627;600;9;3;3;0;0;9;0;0;0
Total;Sección 2906702024;510;465;3;6;15;0;9;9;0;0;0
Total;Sección 2906702026;768;732;9;0;3;0;0;15;6;0;0
Total;Sección 2906702027;909;864;21;9;3;3;3;6;0;0;0
Total;Sección 2906702028;507;471;9;12;3;0;0;12;6;0;0
Total;Sección 2906702030;843;786;21;6;6;0;0;18;0;0;0
Total;Sección 2906702041;849;825;12;3;3;0;0;6;0;0;0
Total;Sección 2906702044;801;765;27;6;3;0;0;6;0;0;0
Total;Sección 2906702047;621;603;12;0;3;0;0;3;3;0;0
Total;Sección 2906702048;774;759;6;3;0;0;0;3;0;0;0
Total;Sección 2906702049;852;828;15;9;0;3;0;3;0;0;0
Total;Sección 2906702050;1140;1101;18;6;3;0;3;9;3;0;0
Total;Sección 2906703003;531;426;39;9;18;3;3;27;6;0;0
Total;Sección 2906704001;579;498;27;12;6;0;3;12;12;3;0
Total;Sección 2906704003;558;477;39;6;15;0;3;18;3;3;0
Total;Sección 2906704004;525;474;21;9;12;0;3;9;0;0;0
Total;Sección 2906704007;504;435;24;12;9;3;3;12;3;3;0
Total;Sección 2906704009;582;543;12;6;3;0;3;12;3;0;0
Total;Sección 2906705002;690;597;39;12;12;6;0;18;6;3;0
Total;Sección 2906706002;714;699;9;0;0;0;3;3;0;0;0
Total;Sección 2906706007;567;552;6;3;3;3;3;3;0;0;0
Total;Sección 2906706012;567;528;6;3;6;0;0;9;12;0;0
Total;Sección 2906706013;735;651;27;12;9;3;3;21;12;0;0
Total;Sección 2906706019;537;459;18;9;21;3;0;12;15;0;0
Total;Sección 2906706025;609;588;6;0;3;0;0;6;0;0;0
Total;Sección 2906706028;888;816;18;12;9;0;3;18;12;0;0
Total;Sección 2906706031;513;492;6;0;3;0;3;9;3;0;0
Total;Sección 2906706039;660;639;9;0;3;0;0;6;0;0;0
Total;Sección 2906706048;906;888;6;6;3;0;0;3;0;0;0
Total;Sección 2906707005;654;639;0;3;3;0;0;6;0;0;0
Total;Sección 2906707011;561;498;18;3;15;0;3;15;12;0;0
Total;Sección 2906707023;795;750;9;0;21;0;3;9;3;0;0
Total;Sección 2906707027;660;648;6;0;0;3;0;0;3;0;0
Total;Sección 2906707030;519;510;3;0;6;0;0;6;3;0;0
Total;Sección 2906707034;717;639;6;9;24;0;0;21;15;0;0
Total;Sección 2906707043;684;645;6;3;15;0;3;6;9;0;0
Total;Sección 2906707046;798;771;9;3;9;0;3;3;6;0;0
Total;Sección 2906707048;684;630;12;9;9;0;9;15;0;0;0
Total;Sección 2906707050;600;576;6;3;6;0;0;6;3;0;0
Total;Sección 2906707066;504;453;6;6;12;0;0;21;6;0;0
Total;Sección 2906707067;525;462;6;6;21;0;0;12;15;0;0
Total;Sección 2906707071;534;504;9;3;6;0;0;6;3;0;0
Total;Sección 2906707072;795;768;6;0;3;0;0;12;3;0;0
Total;Sección 2906707074;822;774;3;6;9;0;3;15;12;0;0
Total;Sección 2906707076;633;621;6;3;0;3;0;3;0;0;0
Total;Sección 2906707077;828;804;6;3;6;0;3;3;0;0;0
Total;Sección 2906707082;918;894;9;6;3;0;0;6;3;0;0
Total;Sección 2906707089;720;699;6;3;0;0;3;6;3;0;0
Total;Sección 2906707090;810;792;6;3;3;0;0;6;0;0;0
Total;Sección 2906707091;1227;1212;6;3;3;0;0;3;0;0;0
Total;Sección 2906707092;834;819;6;0;6;0;0;3;0;0;0
Total;Sección 2906707095;501;486;6;0;0;0;0;3;0;0;0
Total;Sección 2906708001;702;681;6;3;3;0;0;9;3;0;0
Total;Sección 2906708003;534;507;0;6;9;0;0;6;3;0;0
Total;Sección 2906708006;870;858;0;0;0;0;0;3;6;0;0
Total;Sección 2906708007;666;636;0;3;12;3;0;6;0;0;0
Total;Sección 2906708010;954;921;9;3;6;0;3;9;3;0;0
Total;Sección 2906708011;825;801;6;3;6;0;3;6;0;0;0
Total;Sección 2906708012;1167;1101;12;9;12;0;3;12;21;0;0
Total;Sección 2906708013;774;705;9;3;6;0;0;9;45;0;0
Total;Sección 2906708015;513;489;0;0;6;0;0;3;12;0;0
Total;Sección 2906708017;618;594;9;0;6;0;0;6;3;0;0
Total;Sección 2906708018;630;621;3;3;0;0;0;3;0;0;0
Total;Sección 2906708028;981;942;6;3;18;3;0;9;3;0;0
Total;Sección 2906708029;876;822;15;3;6;0;6;15;12;0;0
Total;Sección 2906708030;1266;1248;6;3;3;0;0;6;0;0;0
Total;Sección 2906708031;654;618;9;3;3;0;0;12;6;0;0
