Municipio de residencia;Distrito ;Total;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99
29067 Málaga;Total;206367;711;7773;17400;22593;28104;32391;31008;27327;23070;13038;2136;432;192;102;63;12;3
29067 Málaga;Distrito 2906701;1608;3;30;93;213;219;195;231;207;210;144;39;12;6;0;6;0;0
29067 Málaga;Distrito 2906702;24873;60;741;1881;2220;2790;3384;3588;3645;3450;2274;567;141;66;36;18;3;3
29067 Málaga;Distrito 2906703;1167;0;27;114;180;180;153;165;144;111;69;18;3;3;3;0;0;0
29067 Málaga;Distrito 2906704;5538;21;186;468;627;690;825;876;780;624;339;81;12;3;0;0;0;0
29067 Málaga;Distrito 2906705;1335;6;45;123;162;183;219;183;174;141;81;15;0;0;0;0;0;0
29067 Málaga;Distrito 2906706;20292;72;891;1911;2376;2661;3153;2889;2655;2244;1239;147;36;12;3;6;0;0
29067 Málaga;Distrito 2906707;38655;138;1653;3429;4638;5355;6126;5643;4881;4020;2364;309;45;33;18;9;6;0
29067 Málaga;Distrito 2906708;46029;189;1752;3474;4698;6633;7953;7944;6327;4515;2196;270;45;18;9;6;0;0
29067 Málaga;Distrito 2906709;27000;78;963;2526;3273;3843;3939;3543;3195;3225;1929;339;66;39;18;15;0;0
29067 Málaga;Distrito 2906710;31908;114;1134;2742;3411;4515;5205;4752;4155;3588;1947;273;48;12;15;0;0;0
29067 Málaga;Distrito 2906711;7968;33;348;639;801;1035;1239;1197;1170;942;456;81;24;3;0;3;0;0
