Municipio de residencia;Distrito de residencia;Total;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99
29067 Málaga;Total;184845;860;8060;19655;28300;29135;26475;25730;21240;15030;7915;1355;525;360;100;35*;65*;10*
29067 Málaga;Distrito 2906702;25255;65;595;1885;2805;3810;3380;4010;3520;3005;1425;515;175;40*;20*;0;0;0
29067 Málaga;Distrito 2906704;5600;30*;185;475;665;1070;1020;780;535;510;215;15*;50*;40*;15*;0;0;0
29067 Málaga;Distrito 2906706;19120;80;800;2235;3330;2735;2655;2855;2045;1515;745;110;0;15*;0;0;0;10*
29067 Málaga;Distrito 2906707;34960;160;1625;4300;5555;5605;4830;4445;4060;2530;1280;220;170;95;30*;35*;20*;0
29067 Málaga;Distrito 2906708;37690;150;1820;3795;6160;6690;6400;5015;3970;2195;1185;180;55*;25*;0;0;35*;0
29067 Málaga;Distrito 2906709;25720;180;1340;2935;3855;3535;3195;3635;3130;2215;1410;150;40*;85;15*;0;0;0
29067 Málaga;Distrito 2906710;29745;160;1410;3345;4775;4730;4050;3920;3405;2455;1255;130;25*;50*;25*;0;15*;0
29067 Málaga;Distrito 2906711;6760;40*;285;680;1155;955;950;1070;570;605;395;40*;10*;0;0;0;0;0
29067 Málaga;Distrito 2906701;;0;*;235;295;325;165;310;220;145;125;70;*;*;0;0;0;0
29067 Málaga;Distrito 2906703;;0;*;210;230;325;280;75;70;85;*;*;*;*;0;0;0;0
29067 Málaga;Distrito 2906705;;0;*;65;275;185;160;215;150;85;*;*;*;*;0;0;0;0
