Municipio de residencia;Sección ;Total;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94
Total;Total;101406;336;3579;7722;9912;13587;16707;16848;14469;11331;5757;864;171;69;27;15;6
Total;Sección 2906701001;684;3;15;48;96;87;87;99;90;81;66;15;3;0;0;0;0
Total;Sección 2906702003;792;0;36;60;63;78;99;120;132;120;66;9;0;0;0;0;0
Total;Sección 2906702004;549;0;15;36;42;57;57;78;96;75;63;27;6;3;0;0;0
Total;Sección 2906702009;633;0;21;48;57;75;96;93;126;84;30;3;6;0;0;0;0
Total;Sección 2906702013;870;0;21;63;81;84;108;129;129;126;93;18;6;0;0;0;0
Total;Sección 2906702020;543;0;12;45;81;81;69;78;57;66;36;9;0;3;0;0;0
Total;Sección 2906702022;627;3;15;48;36;57;99;114;96;93;45;9;9;0;3;0;0
Total;Sección 2906702024;510;6;30;54;57;69;66;60;72;51;36;6;0;0;0;0;0
Total;Sección 2906702026;768;3;36;63;63;87;105;138;114;108;45;9;0;0;0;0;0
Total;Sección 2906702027;909;0;33;60;90;111;132;150;129;108;60;18;6;6;0;3;0
Total;Sección 2906702028;510;3;12;33;51;75;78;78;66;51;45;6;0;3;0;3;0
Total;Sección 2906702030;843;3;24;60;84;114;159;141;129;81;39;9;0;3;0;0;0
Total;Sección 2906702041;846;0;27;57;75;96;102;147;132;102;84;21;3;3;0;0;0
Total;Sección 2906702044;804;3;27;51;57;72;87;99;150;156;87;9;6;0;0;0;0
Total;Sección 2906702047;618;3;15;51;33;48;72;99;96;114;78;15;0;0;0;0;0
Total;Sección 2906702048;771;0;18;66;75;81;96;78;96;123;108;30;0;3;0;0;0
Total;Sección 2906702049;852;3;24;60;45;57;84;120;189;183;72;15;0;0;0;0;0
Total;Sección 2906702050;1140;3;39;123;66;87;102;162;183;216;126;21;6;0;3;0;0
Total;Sección 2906703003;528;0;15;57;75;96;72;66;66;51;30;6;0;0;0;0;0
Total;Sección 2906704001;579;0;12;48;87;69;78;93;84;66;33;9;3;0;0;0;0
Total;Sección 2906704003;561;3;30;63;57;63;81;108;75;51;24;9;0;0;0;0;0
Total;Sección 2906704004;525;0;15;45;57;75;72;78;75;63;33;6;0;0;0;0;0
