Municipio de residencia;Seccion de residencia;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99
29067 Málaga;Sección 2906701001;*;*;160;*;*;30;75;130;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906701002;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906701003;*;*;*;*;*;*;*;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906701004;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702001;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702002;*;*;*;*;*;55;*;45;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702003;*;*;*;*;260;150;85;*;90;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702004;*;*;*;*;200;100;70;75;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702005;*;*;*;*;*;*;*;*;40;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702006;*;*;105;*;120;*;75;60;*;60;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702007;*;*;*;*;*;80;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702008;*;*;*;*;*;*;*;*;50;90;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702009;*;*;*;*;*;*;100;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702010;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702011;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702012;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702013;*;*;*;*;*;110;145;185;*;70;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702014;*;*;*;*;*;*;*;50;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702015;*;*;*;*;*;*;*;*;70;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702016;*;*;*;*;*;*;120;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702017;*;*;*;110;230;55;185;155;190;70;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702018;*;*;*;*;100;*;95;50;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702019;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702020;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702021;*;*;*;*;*;*;55;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702022;*;*;*;*;*;90;75;50;100;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702023;*;*;*;*;*;*;155;75;50;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702024;*;*;*;*;*;115;120;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702025;*;*;*;*;*;*;90;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702026;*;*;*;*;215;155;115;110;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702027;*;*;85;*;95;*;80;75;75;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702028;*;*;*;135;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702029;*;*;*;*;*;*;65;100;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702030;*;*;90;175;220;85;50;100;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702031;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702032;*;*;75;*;90;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702033;*;*;85;*;*;150;*;160;170;75;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702034;*;*;*;*;*;*;*;65;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702035;*;*;*;*;*;*;*;*;95;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702036;*;*;*;*;*;*;*;60;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702037;*;*;*;*;155;*;*;85;105;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702038;*;*;*;*;120;*;*;*;90;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702039;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702040;*;*;*;*;*;*;*;*;105;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702041;*;*;110;*;*;125;*;120;190;65;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702042;*;*;*;*;*;100;*;75;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702043;*;*;*;*;*;*;90;65;185;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702044;*;*;*;*;110;135;245;130;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702045;*;*;*;*;*;*;*;75;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702046;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702047;*;*;*;*;*;205;85;75;50;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702048;*;*;*;*;*;95;265;165;115;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702049;*;*;*;*;*;240;180;225;60;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906702050;*;*;*;145;*;135;410;210;140;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906703001;*;*;120;*;105;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906703002;*;*;*;*;190;130;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906703003;*;*;*;90;*;115;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704001;*;*;*;*;*;165;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704002;*;*;*;*;135;110;105;80;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704003;*;*;*;*;130;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704004;*;*;75;100;115;100;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704005;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704006;*;50;*;*;*;75;*;40;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704007;*;*;*;*;145;85;155;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704008;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704009;*;*;*;*;130;130;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704010;*;*;*;*;*;125;70;40;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704011;*;*;*;*;110;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704012;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704013;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704014;*;*;*;95;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704015;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906705001;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906705002;*;*;*;190;125;*;160;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906705003;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706001;*;*;115;295;190;170;160;70;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706002;*;*;*;100;180;105;135;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706003;*;*;*;*;*;*;55;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706004;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706005;*;*;*;*;85;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706006;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706007;*;*;*;*;*;*;*;80;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706008;*;*;*;*;*;*;80;*;*;*;*;*;*;*;*;*;*
