Municipio de residencia;Distrito de residencia;Total;Al menos un miembro es arrendatario de toda o parte de la vivienda;Al menos un miembro es propietario de la vivienda;Otro régimen de tenencia
29067 Málaga;Total;211360;28840;167415;15105
29067 Málaga;Distrito 2906701;2405;820;1405;180
29067 Málaga;Distrito 2906702;23595;3095;18375;2125
29067 Málaga;Distrito 2906703;1655;700;720;235
29067 Málaga;Distrito 2906704;6390;1440;4370;580
29067 Málaga;Distrito 2906705;1795;920;765;110
29067 Málaga;Distrito 2906706;22620;3235;17635;1750
29067 Málaga;Distrito 2906707;42870;5640;33895;3335
29067 Málaga;Distrito 2906708;36805;3440;31160;2205
29067 Málaga;Distrito 2906709;32920;5545;24805;2570
29067 Málaga;Distrito 2906710;33845;3630;28585;1630
29067 Málaga;Distrito 2906711;6455;370;5700;385
