Municipio de residencia;Distrito ;Total;En propiedad;En alquiler;Otro régimen de tenencia
29067 Málaga;Total;218247;174333;29364;14547
29067 Málaga;Distrito 2906701;2067;1386;471;210
29067 Málaga;Distrito 2906702;23700;19005;3123;1569
29067 Málaga;Distrito 2906703;1524;987;381;153
29067 Málaga;Distrito 2906704;6414;4755;1134;522
29067 Málaga;Distrito 2906705;1758;1167;447;138
29067 Málaga;Distrito 2906706;22584;17829;3252;1503
29067 Málaga;Distrito 2906707;44103;34461;6384;3261
29067 Málaga;Distrito 2906708;40623;34047;4422;2154
29067 Málaga;Distrito 2906709;33324;25647;5124;2556
29067 Málaga;Distrito 2906710;34989;28983;3846;2163
29067 Málaga;Distrito 2906711;7164;6063;780;318
