Municipio de residencia;Distrito de residencia;Seccion de residencia;Total;Al menos un miembro es arrendatario de toda o parte de la vivienda;Al menos un miembro es propietario de la vivienda;Otro régimen de tenencia
Total;Total;Total;38205;4815;31335;2055
29067 Málaga;Total;Total;38205;4815;31335;2055
29067 Málaga;Total;Sección 2906702017;740;20*;695;25*
29067 Málaga;Total;Sección 2906702026;865;95*;745;30*
29067 Málaga;Total;Sección 2906702050;830;95;680;55*
29067 Málaga;Total;Sección 2906705002;1040;515;470;55
29067 Málaga;Total;Sección 2906706001;930;140;730;60*
29067 Málaga;Total;Sección 2906706024;1045;85*;855;105
29067 Málaga;Total;Sección 2906707023;915;40*;815;55
29067 Málaga;Total;Sección 2906707030;1020;60*;950;10*
29067 Málaga;Total;Sección 2906707034;855;230;565;55*
29067 Málaga;Total;Sección 2906707048;880;110*;720;55*
29067 Málaga;Total;Sección 2906707082;890;0;795;100
29067 Málaga;Total;Sección 2906707090;630;45;465;120
29067 Málaga;Total;Sección 2906707092;1200;165;965;75
29067 Málaga;Total;Sección 2906708006;635;0;625;10*
29067 Málaga;Total;Sección 2906708010;850;60*;740;50*
29067 Málaga;Total;Sección 2906708018;920;210;670;40*
29067 Málaga;Total;Sección 2906708033;1080;195;850;35*
29067 Málaga;Total;Sección 2906708035;930;50*;855;30*
29067 Málaga;Total;Sección 2906708042;805;20*;760;25*
29067 Málaga;Total;Sección 2906708043;930;30*;845;50*
29067 Málaga;Total;Sección 2906708044;795;120*;650;25*
29067 Málaga;Total;Sección 2906708052;595;115*;470;10*
29067 Málaga;Total;Sección 2906708054;685;20*;610;55
29067 Málaga;Total;Sección 2906708056;1055;95;910;50*
29067 Málaga;Total;Sección 2906708058;770;75;680;15*
29067 Málaga;Total;Sección 2906708061;1055;105;925;20*
29067 Málaga;Total;Sección 2906708063;815;10*;770;30*
29067 Málaga;Total;Sección 2906708065;1500;555;915;30*
29067 Málaga;Total;Sección 2906709003;780;65*;620;95*
29067 Málaga;Total;Sección 2906709007;975;255;675;50*
29067 Málaga;Total;Sección 2906709011;700;65*;590;45
29067 Málaga;Total;Sección 2906709052;870;90;710;70
29067 Málaga;Total;Sección 2906709056;875;180;670;30*
29067 Málaga;Total;Sección 2906709083;680;30*;620;30*
29067 Málaga;Total;Sección 2906710001;875;215;615;45*
29067 Málaga;Total;Sección 2906710003;965;65*;870;30*
29067 Málaga;Total;Sección 2906710016;780;145;565;75
29067 Málaga;Total;Sección 2906710034;880;115;685;75
29067 Málaga;Total;Sección 2906710066;915;65;795;50*
29067 Málaga;Total;Sección 2906711002;795;0;780;15*
29067 Málaga;Total;Sección 2906711006;910;90;690;125
29067 Málaga;Total;Sección 2906711007;830;105;705;20*
