Municipio de residencia;Distrito ;Sección ;Total;En propiedad;En alquiler;Otro régimen de tenencia
Total;Total;Total;120336;96729;16200;7410
29067 Málaga;Total;Total;120339;96729;16200;7407
29067 Málaga;Total;Sección 2906701001;891;582;222;84
29067 Málaga;Total;Sección 2906701003;558;414;93;51
29067 Málaga;Total;Sección 2906701004;618;390;153;72
29067 Málaga;Total;Sección 2906702002;516;390;99;30
29067 Málaga;Total;Sección 2906702003;606;549;39;21
29067 Málaga;Total;Sección 2906702004;504;402;75;27
29067 Málaga;Total;Sección 2906702006;600;429;117;54
29067 Málaga;Total;Sección 2906702009;621;462;114;48
29067 Málaga;Total;Sección 2906702012;537;399;81;57
29067 Málaga;Total;Sección 2906702013;702;615;63;24
29067 Málaga;Total;Sección 2906702020;642;492;96;57
29067 Málaga;Total;Sección 2906702023;513;393;84;33
29067 Málaga;Total;Sección 2906702024;549;417;96;36
29067 Málaga;Total;Sección 2906702026;747;621;81;45
29067 Málaga;Total;Sección 2906702027;837;696;84;54
29067 Málaga;Total;Sección 2906702028;597;405;117;75
29067 Málaga;Total;Sección 2906702030;675;561;84;33
29067 Málaga;Total;Sección 2906702032;498;411;63;27
29067 Málaga;Total;Sección 2906702041;597;528;48;24
29067 Málaga;Total;Sección 2906702044;618;540;57;24
29067 Málaga;Total;Sección 2906702048;582;498;57;27
29067 Málaga;Total;Sección 2906702049;660;585;57;21
29067 Málaga;Total;Sección 2906702050;738;639;69;33
29067 Málaga;Total;Sección 2906703003;669;453;156;57
29067 Málaga;Total;Sección 2906704001;708;477;162;69
29067 Málaga;Total;Sección 2906704003;756;522;189;51
29067 Málaga;Total;Sección 2906704004;558;432;84;42
29067 Málaga;Total;Sección 2906704007;573;420;108;42
29067 Málaga;Total;Sección 2906704009;681;519;96;66
29067 Málaga;Total;Sección 2906705002;909;612;222;75
29067 Málaga;Total;Sección 2906706002;618;528;60;30
29067 Málaga;Total;Sección 2906706007;567;465;75;27
29067 Málaga;Total;Sección 2906706010;615;438;126;51
29067 Málaga;Total;Sección 2906706011;573;447;84;45
29067 Málaga;Total;Sección 2906706012;621;495;81;45
29067 Málaga;Total;Sección 2906706013;822;609;150;66
29067 Málaga;Total;Sección 2906706016;555;396;114;48
29067 Málaga;Total;Sección 2906706017;516;405;90;24
29067 Málaga;Total;Sección 2906706019;717;477;171;69
29067 Málaga;Total;Sección 2906706022;636;375;195;66
29067 Málaga;Total;Sección 2906706023;525;450;51;27
29067 Málaga;Total;Sección 2906706025;567;489;57;18
29067 Málaga;Total;Sección 2906706027;510;297;150;60
29067 Málaga;Total;Sección 2906706028;966;759;150;60
29067 Málaga;Total;Sección 2906706031;522;432;54;36
29067 Málaga;Total;Sección 2906706039;558;498;39;21
29067 Málaga;Total;Sección 2906706048;633;480;114;39
29067 Málaga;Total;Sección 2906707001;498;312;135;54
29067 Málaga;Total;Sección 2906707005;567;513;39;15
29067 Málaga;Total;Sección 2906707006;516;345;111;57
29067 Málaga;Total;Sección 2906707009;603;447;99;57
29067 Málaga;Total;Sección 2906707011;690;504;135;48
29067 Málaga;Total;Sección 2906707013;567;414;114;39
29067 Málaga;Total;Sección 2906707016;624;453;114;57
29067 Málaga;Total;Sección 2906707023;912;720;120;75
29067 Málaga;Total;Sección 2906707026;699;420;207;72
29067 Málaga;Total;Sección 2906707027;501;465;27;6
29067 Málaga;Total;Sección 2906707034;807;594;150;60
29067 Málaga;Total;Sección 2906707035;561;456;57;45
29067 Málaga;Total;Sección 2906707037;585;384;138;60
29067 Málaga;Total;Sección 2906707042;591;477;87;30
29067 Málaga;Total;Sección 2906707043;705;594;69;45
29067 Málaga;Total;Sección 2906707046;687;564;90;36
29067 Málaga;Total;Sección 2906707048;720;582;102;39
29067 Málaga;Total;Sección 2906707050;660;450;159;51
29067 Málaga;Total;Sección 2906707051;570;483;66;24
29067 Málaga;Total;Sección 2906707058;540;384;102;54
29067 Málaga;Total;Sección 2906707059;504;360;93;54
29067 Málaga;Total;Sección 2906707065;543;417;78;45
29067 Málaga;Total;Sección 2906707066;609;462;99;48
29067 Málaga;Total;Sección 2906707067;609;483;93;30
29067 Málaga;Total;Sección 2906707068;510;360;93;57
29067 Málaga;Total;Sección 2906707070;567;438;81;51
29067 Málaga;Total;Sección 2906707071;585;510;36;33
29067 Málaga;Total;Sección 2906707072;705;582;78;42
29067 Málaga;Total;Sección 2906707074;750;663;63;27
29067 Málaga;Total;Sección 2906707076;561;486;51;27
29067 Málaga;Total;Sección 2906707077;648;561;51;36
29067 Málaga;Total;Sección 2906707078;546;435;72;39
29067 Málaga;Total;Sección 2906707082;876;789;57;27
29067 Málaga;Total;Sección 2906707089;609;534;51;24
29067 Málaga;Total;Sección 2906707090;675;594;57;27
29067 Málaga;Total;Sección 2906707091;858;795;39;24
29067 Málaga;Total;Sección 2906707092;711;594;87;27
29067 Málaga;Total;Sección 2906708001;648;519;84;45
29067 Málaga;Total;Sección 2906708003;546;450;57;39
29067 Málaga;Total;Sección 2906708004;663;501;117;45
29067 Málaga;Total;Sección 2906708005;516;423;60;33
29067 Málaga;Total;Sección 2906708006;732;675;30;27
29067 Málaga;Total;Sección 2906708007;561;471;54;33
29067 Málaga;Total;Sección 2906708010;804;714;69;24
29067 Málaga;Total;Sección 2906708011;693;573;81;39
29067 Málaga;Total;Sección 2906708012;999;780;165;51
29067 Málaga;Total;Sección 2906708013;672;558;84;27
29067 Málaga;Total;Sección 2906708015;594;426;105;66
29067 Málaga;Total;Sección 2906708017;615;450;120;48
29067 Málaga;Total;Sección 2906708020;579;486;63;33
29067 Málaga;Total;Sección 2906708021;546;477;30;39
29067 Málaga;Total;Sección 2906708027;528;435;60;30
29067 Málaga;Total;Sección 2906708028;798;681;78;39
29067 Málaga;Total;Sección 2906708029;768;612;114;45
29067 Málaga;Total;Sección 2906708030;954;783;129;42
29067 Málaga;Total;Sección 2906708031;543;462;63;21
29067 Málaga;Total;Sección 2906708033;780;666;93;21
29067 Málaga;Total;Sección 2906708034;516;414;69;33
29067 Málaga;Total;Sección 2906708035;882;795;57;27
29067 Málaga;Total;Sección 2906708039;600;537;42;21
29067 Málaga;Total;Sección 2906708040;813;732;54;24
29067 Málaga;Total;Sección 2906708041;588;498;60;27
29067 Málaga;Total;Sección 2906708042;780;672;66;42
29067 Málaga;Total;Sección 2906708043;867;765;75;27
29067 Málaga;Total;Sección 2906708044;855;774;51;30
29067 Málaga;Total;Sección 2906708054;816;717;60;39
29067 Málaga;Total;Sección 2906708055;591;495;63;33
29067 Málaga;Total;Sección 2906708056;555;450;69;36
29067 Málaga;Total;Sección 2906708057;921;804;75;42
29067 Málaga;Total;Sección 2906708058;741;573;123;48
29067 Málaga;Total;Sección 2906708059;687;618;51;15
29067 Málaga;Total;Sección 2906708061;840;735;75;27
29067 Málaga;Total;Sección 2906708063;1002;846;111;42
29067 Málaga;Total;Sección 2906708066;951;771;129;54
29067 Málaga;Total;Sección 2906708068;576;504;51;18
29067 Málaga;Total;Sección 2906708069;573;501;45;30
29067 Málaga;Total;Sección 2906708070;615;540;45;30
29067 Málaga;Total;Sección 2906708072;606;504;69;33
29067 Málaga;Total;Sección 2906709001;576;441;93;42
29067 Málaga;Total;Sección 2906709003;720;573;90;57
29067 Málaga;Total;Sección 2906709004;648;522;84;45
29067 Málaga;Total;Sección 2906709006;735;579;102;54
29067 Málaga;Total;Sección 2906709007;1041;750;207;84
29067 Málaga;Total;Sección 2906709010;567;435;84;48
29067 Málaga;Total;Sección 2906709011;726;603;78;45
29067 Málaga;Total;Sección 2906709012;663;528;84;54
29067 Málaga;Total;Sección 2906709014;501;354;93;51
29067 Málaga;Total;Sección 2906709021;543;429;45;69
29067 Málaga;Total;Sección 2906709023;585;507;57;21
29067 Málaga;Total;Sección 2906709025;540;285;186;66
29067 Málaga;Total;Sección 2906709027;675;414;186;72
29067 Málaga;Total;Sección 2906709034;522;423;75;24
29067 Málaga;Total;Sección 2906709036;705;513;141;51
29067 Málaga;Total;Sección 2906709038;636;522;75;42
29067 Málaga;Total;Sección 2906709039;516;384;90;42
29067 Málaga;Total;Sección 2906709040;537;345;123;69
29067 Málaga;Total;Sección 2906709046;660;534;84;45
29067 Málaga;Total;Sección 2906709052;708;555;111;39
29067 Málaga;Total;Sección 2906709053;531;465;45;21
29067 Málaga;Total;Sección 2906709056;582;441;111;30
29067 Málaga;Total;Sección 2906709059;507;420;57;30
29067 Málaga;Total;Sección 2906709067;588;474;87;27
29067 Málaga;Total;Sección 2906709083;630;513;72;39
29067 Málaga;Total;Sección 2906710001;864;642;156;63
29067 Málaga;Total;Sección 2906710002;690;555;93;45
29067 Málaga;Total;Sección 2906710003;720;588;93;39
29067 Málaga;Total;Sección 2906710009;528;438;57;36
29067 Málaga;Total;Sección 2906710010;597;489;69;39
29067 Málaga;Total;Sección 2906710013;522;432;48;42
29067 Málaga;Total;Sección 2906710015;546;441;75;30
29067 Málaga;Total;Sección 2906710016;720;552;117;51
29067 Málaga;Total;Sección 2906710018;600;492;81;24
29067 Málaga;Total;Sección 2906710019;537;498;27;18
29067 Málaga;Total;Sección 2906710021;522;471;30;21
29067 Málaga;Total;Sección 2906710022;528;432;63;36
29067 Málaga;Total;Sección 2906710023;684;585;66;30
29067 Málaga;Total;Sección 2906710026;525;471;33;21
29067 Málaga;Total;Sección 2906710033;525;432;72;21
29067 Málaga;Total;Sección 2906710034;765;642;84;42
29067 Málaga;Total;Sección 2906710035;525;444;51;27
29067 Málaga;Total;Sección 2906710040;501;402;54;42
29067 Málaga;Total;Sección 2906710043;618;501;84;36
29067 Málaga;Total;Sección 2906710046;501;402;54;48
29067 Málaga;Total;Sección 2906710052;633;555;51;27
29067 Málaga;Total;Sección 2906710056;543;492;33;18
29067 Málaga;Total;Sección 2906710066;594;465;90;39
29067 Málaga;Total;Sección 2906710068;540;501;21;21
29067 Málaga;Total;Sección 2906710069;795;630;117;45
29067 Málaga;Total;Sección 2906710070;747;609;99;39
29067 Málaga;Total;Sección 2906710071;801;636;111;57
29067 Málaga;Total;Sección 2906710072;1104;933;129;45
29067 Málaga;Total;Sección 2906711002;837;705;96;36
29067 Málaga;Total;Sección 2906711003;738;663;54;21
29067 Málaga;Total;Sección 2906711004;672;603;48;21
29067 Málaga;Total;Sección 2906711006;612;510;72;30
29067 Málaga;Total;Sección 2906711007;732;636;63;33
29067 Málaga;Total;Sección 2906711010;615;510;81;24
29067 Málaga;Total;Sección 2906711013;540;468;54;21
29067 Málaga;Distrito 2906701;Total;2067;1386;471;207
29067 Málaga;Distrito 2906701;Sección 2906701001;888;582;225;87
29067 Málaga;Distrito 2906701;Sección 2906701003;558;414;93;51
29067 Málaga;Distrito 2906701;Sección 2906701004;618;390;156;72
29067 Málaga;Distrito 2906702;Total;12342;10026;1572;741
29067 Málaga;Distrito 2906702;Sección 2906702002;516;390;96;27
29067 Málaga;Distrito 2906702;Sección 2906702003;606;549;36;18
29067 Málaga;Distrito 2906702;Sección 2906702004;504;405;75;30
29067 Málaga;Distrito 2906702;Sección 2906702006;600;429;117;51
29067 Málaga;Distrito 2906702;Sección 2906702009;621;462;111;48
29067 Málaga;Distrito 2906702;Sección 2906702012;537;396;84;54
29067 Málaga;Distrito 2906702;Sección 2906702013;702;615;66;24
29067 Málaga;Distrito 2906702;Sección 2906702020;642;492;96;54
29067 Málaga;Distrito 2906702;Sección 2906702023;513;393;84;36
29067 Málaga;Distrito 2906702;Sección 2906702024;549;417;96;36
29067 Málaga;Distrito 2906702;Sección 2906702026;747;621;81;45
29067 Málaga;Distrito 2906702;Sección 2906702027;837;696;84;57
29067 Málaga;Distrito 2906702;Sección 2906702028;600;405;117;75
29067 Málaga;Distrito 2906702;Sección 2906702030;675;561;84;30
29067 Málaga;Distrito 2906702;Sección 2906702032;501;411;63;27
29067 Málaga;Distrito 2906702;Sección 2906702041;600;528;48;21
29067 Málaga;Distrito 2906702;Sección 2906702044;618;540;54;24
29067 Málaga;Distrito 2906702;Sección 2906702048;579;495;57;27
29067 Málaga;Distrito 2906702;Sección 2906702049;660;582;57;18
29067 Málaga;Distrito 2906702;Sección 2906702050;738;636;72;33
29067 Málaga;Distrito 2906703;Total;669;456;159;57
29067 Málaga;Distrito 2906703;Sección 2906703003;669;453;156;57
29067 Málaga;Distrito 2906704;Total;3276;2370;633;273
29067 Málaga;Distrito 2906704;Sección 2906704001;708;477;162;69
29067 Málaga;Distrito 2906704;Sección 2906704003;756;519;186;51
29067 Málaga;Distrito 2906704;Sección 2906704004;558;432;81;42
29067 Málaga;Distrito 2906704;Sección 2906704007;573;423;105;45
29067 Málaga;Distrito 2906704;Sección 2906704009;681;519;96;66
29067 Málaga;Distrito 2906705;Total;909;612;219;78
29067 Málaga;Distrito 2906705;Sección 2906705002;906;612;219;78
29067 Málaga;Distrito 2906706;Total;10521;8040;1752;729
29067 Málaga;Distrito 2906706;Sección 2906706002;615;528;63;27
29067 Málaga;Distrito 2906706;Sección 2906706007;567;465;72;27
29067 Málaga;Distrito 2906706;Sección 2906706010;615;438;126;51
29067 Málaga;Distrito 2906706;Sección 2906706011;573;450;81;45
29067 Málaga;Distrito 2906706;Sección 2906706012;621;495;84;45
29067 Málaga;Distrito 2906706;Sección 2906706013;822;609;150;66
29067 Málaga;Distrito 2906706;Sección 2906706016;555;396;111;48
29067 Málaga;Distrito 2906706;Sección 2906706017;519;405;87;27
29067 Málaga;Distrito 2906706;Sección 2906706019;717;477;171;69
29067 Málaga;Distrito 2906706;Sección 2906706022;636;375;195;66
29067 Málaga;Distrito 2906706;Sección 2906706023;525;450;51;27
29067 Málaga;Distrito 2906706;Sección 2906706025;564;492;54;18
29067 Málaga;Distrito 2906706;Sección 2906706027;507;297;150;60
29067 Málaga;Distrito 2906706;Sección 2906706028;966;756;147;60
29067 Málaga;Distrito 2906706;Sección 2906706031;525;432;54;36
29067 Málaga;Distrito 2906706;Sección 2906706039;561;501;39;21
29067 Málaga;Distrito 2906706;Sección 2906706048;633;480;114;39
29067 Málaga;Distrito 2906707;Total;23463;18615;3300;1545
29067 Málaga;Distrito 2906707;Sección 2906707001;501;309;135;54
29067 Málaga;Distrito 2906707;Sección 2906707005;567;513;39;15
29067 Málaga;Distrito 2906707;Sección 2906707006;516;345;111;57
29067 Málaga;Distrito 2906707;Sección 2906707009;603;447;99;57
29067 Málaga;Distrito 2906707;Sección 2906707011;687;504;135;51
29067 Málaga;Distrito 2906707;Sección 2906707013;567;411;111;42
29067 Málaga;Distrito 2906707;Sección 2906707016;624;453;111;57
29067 Málaga;Distrito 2906707;Sección 2906707023;912;720;120;72
29067 Málaga;Distrito 2906707;Sección 2906707026;699;420;210;69
29067 Málaga;Distrito 2906707;Sección 2906707027;501;465;30;9
29067 Málaga;Distrito 2906707;Sección 2906707034;804;594;153;60
29067 Málaga;Distrito 2906707;Sección 2906707035;558;456;60;45
29067 Málaga;Distrito 2906707;Sección 2906707037;582;387;135;63
29067 Málaga;Distrito 2906707;Sección 2906707042;591;477;84;33
29067 Málaga;Distrito 2906707;Sección 2906707043;705;594;69;45
29067 Málaga;Distrito 2906707;Sección 2906707046;687;561;90;36
29067 Málaga;Distrito 2906707;Sección 2906707048;720;579;102;36
29067 Málaga;Distrito 2906707;Sección 2906707050;660;450;156;51
29067 Málaga;Distrito 2906707;Sección 2906707051;570;483;66;21
29067 Málaga;Distrito 2906707;Sección 2906707058;540;384;102;57
29067 Málaga;Distrito 2906707;Sección 2906707059;504;357;93;54
29067 Málaga;Distrito 2906707;Sección 2906707065;543;417;78;45
29067 Málaga;Distrito 2906707;Sección 2906707066;609;462;102;45
29067 Málaga;Distrito 2906707;Sección 2906707067;606;486;90;30
29067 Málaga;Distrito 2906707;Sección 2906707068;510;357;93;57
29067 Málaga;Distrito 2906707;Sección 2906707070;567;438;81;51
29067 Málaga;Distrito 2906707;Sección 2906707071;582;513;36;36
29067 Málaga;Distrito 2906707;Sección 2906707072;705;582;78;42
29067 Málaga;Distrito 2906707;Sección 2906707074;750;660;63;27
29067 Málaga;Distrito 2906707;Sección 2906707076;564;486;51;27
29067 Málaga;Distrito 2906707;Sección 2906707077;651;561;51;39
29067 Málaga;Distrito 2906707;Sección 2906707078;546;435;72;39
29067 Málaga;Distrito 2906707;Sección 2906707082;876;789;57;27
29067 Málaga;Distrito 2906707;Sección 2906707089;609;531;54;24
29067 Málaga;Distrito 2906707;Sección 2906707090;675;594;60;24
29067 Málaga;Distrito 2906707;Sección 2906707091;858;795;39;24
29067 Málaga;Distrito 2906707;Sección 2906707092;711;591;90;27
29067 Málaga;Distrito 2906708;Total;28920;24396;3105;1422
29067 Málaga;Distrito 2906708;Sección 2906708001;648;519;84;45
29067 Málaga;Distrito 2906708;Sección 2906708003;546;450;57;39
29067 Málaga;Distrito 2906708;Sección 2906708004;663;501;117;45
29067 Málaga;Distrito 2906708;Sección 2906708005;519;423;63;33
29067 Málaga;Distrito 2906708;Sección 2906708006;732;675;33;24
29067 Málaga;Distrito 2906708;Sección 2906708007;561;471;54;33
29067 Málaga;Distrito 2906708;Sección 2906708010;807;717;69;24
29067 Málaga;Distrito 2906708;Sección 2906708011;696;573;78;42
29067 Málaga;Distrito 2906708;Sección 2906708012;996;780;168;51
29067 Málaga;Distrito 2906708;Sección 2906708013;672;558;84;30
29067 Málaga;Distrito 2906708;Sección 2906708015;594;423;105;63
29067 Málaga;Distrito 2906708;Sección 2906708017;618;450;120;48
29067 Málaga;Distrito 2906708;Sección 2906708020;579;483;63;33
29067 Málaga;Distrito 2906708;Sección 2906708021;546;477;33;39
29067 Málaga;Distrito 2906708;Sección 2906708027;528;435;60;30
29067 Málaga;Distrito 2906708;Sección 2906708028;795;681;75;39
29067 Málaga;Distrito 2906708;Sección 2906708029;768;612;114;42
29067 Málaga;Distrito 2906708;Sección 2906708030;954;783;129;42
29067 Málaga;Distrito 2906708;Sección 2906708031;546;462;63;21
29067 Málaga;Distrito 2906708;Sección 2906708033;780;666;93;21
29067 Málaga;Distrito 2906708;Sección 2906708034;516;414;72;33
29067 Málaga;Distrito 2906708;Sección 2906708035;885;798;57;30
29067 Málaga;Distrito 2906708;Sección 2906708039;597;537;42;21
29067 Málaga;Distrito 2906708;Sección 2906708040;810;735;54;27
29067 Málaga;Distrito 2906708;Sección 2906708041;588;501;60;30
29067 Málaga;Distrito 2906708;Sección 2906708042;783;675;66;42
29067 Málaga;Distrito 2906708;Sección 2906708043;867;765;75;27
29067 Málaga;Distrito 2906708;Sección 2906708044;852;774;51;30
29067 Málaga;Distrito 2906708;Sección 2906708054;816;717;60;39
29067 Málaga;Distrito 2906708;Sección 2906708055;591;492;63;33
29067 Málaga;Distrito 2906708;Sección 2906708056;555;450;69;36
29067 Málaga;Distrito 2906708;Sección 2906708057;924;807;75;42
29067 Málaga;Distrito 2906708;Sección 2906708058;744;573;123;48
29067 Málaga;Distrito 2906708;Sección 2906708059;684;621;51;15
