Municipio de residencia;Distrito de residencia;Total;Hogar con una mujer sola menor de 65 años;Hogar con un hombre solo menor de 65 años;Hogar con una mujer sola de 65 años o más;Hogar con un hombre solo de 65 años o más;Hogar con padre o madre que convive con algún hijo menor de 25 años;Hogar con padre o madre que convive con todos sus hijos de 25 años o más;Hogar formado por pareja sin hijos;Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años;Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más;Hogar formado por pareja o padre/madre que convive con algún hijo menor de 25 años y otra(s) persona(s);Otro tipo de hogar
29067 Málaga;Total;207905;13270;13900;15620;3860;12915;10225;37890;60115;15285;11755;13070
29067 Málaga;Distrito 2906701;2405;305;580;340;75;30*;60;440;325;50;0;195
29067 Málaga;Distrito 2906702;23595;1440;1375;1550;390;1505;1300;3610;7685;1930;1380;1440
29067 Málaga;Distrito 2906704;6390;625;560;655;150;440;270;1155;1205;500;300;535
29067 Málaga;Distrito 2906706;22620;1400;1785;2125;530;1455;1065;4110;5990;1490;1345;1330
29067 Málaga;Distrito 2906707;42870;2665;2875;3355;875;2565;2370;7595;12135;3430;2405;2600
29067 Málaga;Distrito 2906708;36805;1950;2410;1705;545;2510;1205;6285;13695;2240;2015;2255
29067 Málaga;Distrito 2906709;32920;2275;2140;3340;715;1765;1990;6535;7000;2590;2020;2545
29067 Málaga;Distrito 2906710;33845;2365;1785;2260;515;2325;1735;6835;9820;2610;1800;1785
29067 Málaga;Distrito 2906711;6455;250;385;295;70;315;225;1330;2255;440;495;385
29067 Málaga;Distrito 2906703;;220;295;125;*;*;125;365;160;*;*;160
29067 Málaga;Distrito 2906705;;180;240;80;*;215;110;400;220;*;*;200
