Municipio de residencia;Distrito de residencia;Seccion de residencia;Hogar con una mujer sola menor de 65 años;Hogar con un hombre solo menor de 65 años;Hogar con una mujer sola de 65 años o más;Hogar con un hombre solo de 65 años o más;Hogar con padre o madre que convive con algún hijo menor de 25 años;Hogar con padre o madre que convive con todos sus hijos de 25 años o más;Hogar formado por pareja sin hijos;Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años;Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más;Hogar formado por pareja o padre/madre que convive con algún hijo menor de 25 años y otra(s) persona(s);Otro tipo de hogar
29067 Málaga;Distrito 2906701;Sección 2906701001;150;325;*;*;*;*;85;*;*;*;*
29067 Málaga;Distrito 2906701;Sección 2906701002;*;*;80;*;*;*;215;*;*;*;*
29067 Málaga;Distrito 2906701;Sección 2906701003;*;*;145;*;*;*;80;125;30;*;85
29067 Málaga;Distrito 2906701;Sección 2906701004;105;*;70;*;*;*;60;*;*;*;90
29067 Málaga;Distrito 2906702;Sección 2906702001;*;*;*;*;*;*;85;*;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702002;*;*;100;*;*;95;75;*;*;*;60
29067 Málaga;Distrito 2906702;Sección 2906702003;*;*;*;*;*;*;85;350;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702004;*;*;*;*;*;*;90;255;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702005;*;*;75;*;*;*;*;*;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702006;150;*;*;*;*;*;150;115;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702007;*;*;*;*;*;*;*;125;70;*;*
29067 Málaga;Distrito 2906702;Sección 2906702008;*;*;*;*;*;*;80;115;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702009;*;*;*;*;*;*;80;135;100;*;65
29067 Málaga;Distrito 2906702;Sección 2906702010;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702011;*;*;*;*;*;*;145;*;*;55;*
29067 Málaga;Distrito 2906702;Sección 2906702012;*;*;65;*;*;*;145;*;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702013;*;*;*;*;60;*;140;190;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702014;*;*;*;*;*;*;*;75;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702015;*;*;65;*;*;*;55;80;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702016;*;*;*;*;*;*;*;155;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702017;*;*;*;*;*;55;85;350;95;*;*
29067 Málaga;Distrito 2906702;Sección 2906702018;*;*;*;*;*;*;55;90;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702019;*;*;*;*;*;*;*;85;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702020;*;*;105;*;90;75;60;*;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702021;*;*;*;*;*;*;50;90;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702022;*;*;*;*;*;*;*;170;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702023;*;*;*;*;*;*;160;185;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702024;*;*;105;*;*;*;95;180;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702025;*;*;*;*;*;*;*;95;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702026;*;*;*;*;*;*;100;365;*;80;*
29067 Málaga;Distrito 2906702;Sección 2906702027;*;*;55;*;*;*;80;155;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702028;*;*;105;*;*;*;70;70;80;*;*
29067 Málaga;Distrito 2906702;Sección 2906702029;*;*;*;*;*;*;85;125;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702030;*;*;*;*;*;*;75;355;75;*;*
29067 Málaga;Distrito 2906702;Sección 2906702031;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702032;70;*;70;*;*;*;60;110;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702033;*;*;*;*;*;*;95;185;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702034;*;*;*;*;*;*;145;75;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702035;*;*;*;*;*;*;85;*;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702036;*;*;*;*;*;*;85;110;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702037;*;*;*;*;*;*;*;235;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702038;*;*;*;*;*;*;100;80;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702039;*;*;*;*;*;*;*;130;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702040;*;*;*;*;*;*;80;*;*;*;80
29067 Málaga;Distrito 2906702;Sección 2906702041;*;*;*;*;*;*;55;160;145;*;*
29067 Málaga;Distrito 2906702;Sección 2906702042;*;*;*;*;*;*;*;80;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702043;*;*;*;*;*;*;*;200;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702044;*;*;*;*;100;*;*;320;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702045;*;*;*;*;60;*;55;*;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702046;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702047;*;*;*;*;*;*;*;265;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702048;*;*;*;*;*;*;45;280;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702049;*;*;*;*;*;*;100;445;*;*;*
29067 Málaga;Distrito 2906702;Sección 2906702050;*;65;*;*;*;*;*;430;*;*;*
29067 Málaga;Distrito 2906703;Sección 2906703001;*;135;*;*;*;*;170;*;*;*;*
29067 Málaga;Distrito 2906703;Sección 2906703002;*;*;*;*;*;*;100;95;*;*;*
