Municipio de residencia;Distrito ;Sección ;Total;Hogar con una mujer sola menor de 65 años;Hogar con un hombre solo menor de 65 años;Hogar con una mujer sola de 65 años o más;Hogar con un hombre solo de 65 años o más;Hogar con un solo progenitor que convive con algún hijo menor de 25 años;Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más;Hogar formado por pareja sin hijos;Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años;Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más;Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(a);Otro tipo de hogar
Total;Total;Total;120336;8430;9759;8499;2817;9918;6282;17277;30813;7650;9618;9285
29067 Málaga;Total;Total;120336;8433;9759;8499;2814;9915;6282;17274;30813;7650;9618;9282
29067 Málaga;Total;Sección 2906701001;891;132;165;105;51;42;33;132;66;24;33;111
29067 Málaga;Total;Sección 2906701003;558;63;48;93;21;24;36;69;63;27;42;78
29067 Málaga;Total;Sección 2906701004;618;81;99;75;42;33;24;84;66;21;27;72
29067 Málaga;Total;Sección 2906702002;516;39;33;78;21;21;33;93;78;48;42;33
29067 Málaga;Total;Sección 2906702003;606;27;33;12;6;57;30;87;186;66;57;42
29067 Málaga;Total;Sección 2906702004;504;33;27;48;15;39;30;78;123;36;48;24
29067 Málaga;Total;Sección 2906702006;597;57;69;111;39;27;39;87;54;36;33;48
29067 Málaga;Total;Sección 2906702009;621;27;36;30;15;48;39;78;177;54;69;48
29067 Málaga;Total;Sección 2906702012;537;33;45;36;12;48;42;57;111;36;69;48
29067 Málaga;Total;Sección 2906702013;702;36;48;39;15;60;42;87;183;63;78;51
29067 Málaga;Total;Sección 2906702020;642;42;42;72;15;42;57;87;96;39;69;72
29067 Málaga;Total;Sección 2906702023;513;39;27;45;18;45;24;78;96;42;57;39
29067 Málaga;Total;Sección 2906702024;549;27;36;45;15;42;42;69;111;54;69;45
29067 Málaga;Total;Sección 2906702026;747;36;48;45;18;66;45;102;189;69;63;66
29067 Málaga;Total;Sección 2906702027;837;39;72;57;21;69;33;129;225;60;69;57
29067 Málaga;Total;Sección 2906702028;600;39;30;84;21;45;42;84;87;51;63;51
29067 Málaga;Total;Sección 2906702030;678;33;45;21;18;54;30;72;201;48;102;57
29067 Málaga;Total;Sección 2906702032;501;27;24;66;12;24;48;84;93;24;63;36
29067 Málaga;Total;Sección 2906702041;597;18;15;27;6;54;36;57;216;69;66;27
29067 Málaga;Total;Sección 2906702044;618;39;27;24;18;81;30;57;213;48;45;27
29067 Málaga;Total;Sección 2906702048;582;15;18;24;18;42;39;87;195;75;57;15
29067 Málaga;Total;Sección 2906702049;657;54;48;15;12;81;30;66;252;36;42;18
29067 Málaga;Total;Sección 2906702050;738;24;33;21;6;84;27;63;324;63;63;27
29067 Málaga;Total;Sección 2906703003;666;129;120;42;21;45;21;102;54;9;30;102
29067 Málaga;Total;Sección 2906704001;705;93;93;66;27;48;39;102;87;27;39;81
29067 Málaga;Total;Sección 2906704003;756;84;93;48;18;48;48;78;120;30;84;111
29067 Málaga;Total;Sección 2906704004;558;45;39;51;15;36;36;87;129;39;42;42
29067 Málaga;Total;Sección 2906704007;573;51;63;69;18;33;33;69;102;30;30;75
29067 Málaga;Total;Sección 2906704009;681;81;81;84;18;48;36;108;108;27;39;54
29067 Málaga;Total;Sección 2906705002;906;120;147;51;27;93;45;99;123;27;72;102
29067 Málaga;Total;Sección 2906706002;615;30;27;39;15;51;24;99;201;42;45;42
29067 Málaga;Total;Sección 2906706007;567;21;36;45;12;27;39;81;135;51;90;30
29067 Málaga;Total;Sección 2906706010;615;48;66;45;15;75;42;66;111;21;60;69
29067 Málaga;Total;Sección 2906706011;576;42;57;45;21;63;39;63;117;21;54;57
29067 Málaga;Total;Sección 2906706012;621;39;72;63;15;51;42;72;144;48;30;42
29067 Málaga;Total;Sección 2906706013;822;75;81;81;21;60;42;108;150;33;69;102
29067 Málaga;Total;Sección 2906706016;558;42;60;54;24;57;33;84;96;27;33;51
29067 Málaga;Total;Sección 2906706017;516;54;42;51;6;33;30;81;102;24;42;54
29067 Málaga;Total;Sección 2906706019;717;54;69;54;30;66;45;99;123;36;69;78
29067 Málaga;Total;Sección 2906706022;636;78;81;21;15;63;39;57;93;24;69;96
29067 Málaga;Total;Sección 2906706023;525;15;24;39;15;36;42;123;114;57;33;30
29067 Málaga;Total;Sección 2906706025;564;30;24;27;12;39;39;105;141;60;51;33
29067 Málaga;Total;Sección 2906706027;507;42;63;39;15;36;39;63;63;18;72;57
29067 Málaga;Total;Sección 2906706028;966;96;90;87;27;87;54;120;222;39;63;81
29067 Málaga;Total;Sección 2906706031;522;24;36;42;12;42;36;72;126;45;48;39
29067 Málaga;Total;Sección 2906706039;561;33;39;24;9;39;39;87;156;60;36;30
29067 Málaga;Total;Sección 2906706048;633;48;54;9;3;66;6;57;324;21;27;12
29067 Málaga;Total;Sección 2906707001;498;60;78;30;15;39;24;54;60;21;48;69
29067 Málaga;Total;Sección 2906707005;570;30;45;30;9;51;24;75;204;48;30;30
29067 Málaga;Total;Sección 2906707006;516;45;60;72;24;39;36;81;60;6;36;63
29067 Málaga;Total;Sección 2906707009;603;63;63;66;21;51;33;102;84;27;36;60
29067 Málaga;Total;Sección 2906707011;690;84;78;63;21;45;45;105;105;36;36;78
29067 Málaga;Total;Sección 2906707013;564;51;51;66;15;42;33;96;90;21;33;72
29067 Málaga;Total;Sección 2906707016;624;57;51;84;15;45;36;90;96;27;36;81
29067 Málaga;Total;Sección 2906707023;912;57;114;33;15;93;48;117;267;27;66;72
29067 Málaga;Total;Sección 2906707026;699;42;90;33;15;72;30;48;117;21;81;150
29067 Málaga;Total;Sección 2906707027;501;15;15;18;6;21;18;81;138;81;63;42
29067 Málaga;Total;Sección 2906707034;804;90;75;72;18;54;42;108;159;36;66;87
29067 Málaga;Total;Sección 2906707035;558;33;42;54;15;54;36;87;99;30;66;48
29067 Málaga;Total;Sección 2906707037;585;51;39;72;12;48;39;81;72;42;51;75
29067 Málaga;Total;Sección 2906707042;594;42;51;60;12;48;39;99;108;42;36;54
29067 Málaga;Total;Sección 2906707043;702;57;42;66;12;51;45;114;177;42;48;48
29067 Málaga;Total;Sección 2906707046;687;27;36;30;15;60;36;90;201;63;72;63
29067 Málaga;Total;Sección 2906707048;720;30;42;57;24;72;39;102;195;30;63;63
29067 Málaga;Total;Sección 2906707050;660;33;54;12;9;54;27;72;222;36;102;39
29067 Málaga;Total;Sección 2906707051;570;33;51;51;21;51;33;75;123;21;66;51
29067 Málaga;Total;Sección 2906707058;540;42;51;51;12;39;33;96;78;45;51;45
29067 Málaga;Total;Sección 2906707059;504;27;42;63;15;51;27;75;99;24;27;54
29067 Málaga;Total;Sección 2906707065;543;45;51;51;12;36;36;75;108;33;42;57
29067 Málaga;Total;Sección 2906707066;609;42;57;54;18;57;36;84;120;30;51;57
29067 Málaga;Total;Sección 2906707067;606;39;42;54;21;42;36;105;102;45;60;60
29067 Málaga;Total;Sección 2906707068;510;39;27;78;18;33;33;87;81;24;33;57
29067 Málaga;Total;Sección 2906707070;567;42;42;66;18;42;42;87;78;42;51;57
29067 Málaga;Total;Sección 2906707071;585;30;30;51;12;39;54;96;132;66;36;39
29067 Málaga;Total;Sección 2906707072;705;39;42;39;15;63;48;108;192;72;45;39
29067 Málaga;Total;Sección 2906707074;750;111;72;45;15;60;30;147;165;33;30;45
29067 Málaga;Total;Sección 2906707076;561;12;33;30;9;45;27;87;168;51;69;33
29067 Málaga;Total;Sección 2906707077;648;27;39;15;6;48;24;84;210;57;93;48
29067 Málaga;Total;Sección 2906707078;546;48;57;33;12;51;27;84;123;42;27;42
29067 Málaga;Total;Sección 2906707082;873;39;51;54;9;78;48;129;243;87;72;60
29067 Málaga;Total;Sección 2906707089;609;18;42;21;15;42;24;87;162;63;90;45
29067 Málaga;Total;Sección 2906707090;675;33;30;21;12;63;27;81;222;45;93;51
29067 Málaga;Total;Sección 2906707091;855;48;57;9;3;87;15;129;414;24;42;27
29067 Málaga;Total;Sección 2906707092;711;45;63;6;3;105;33;60;291;24;57;27
29067 Málaga;Total;Sección 2906708001;648;48;66;39;15;75;36;99;147;42;45;42
29067 Málaga;Total;Sección 2906708003;546;39;45;33;12;39;24;75;159;36;42;39
29067 Málaga;Total;Sección 2906708004;663;45;72;54;21;63;51;69;114;36;66;81
29067 Málaga;Total;Sección 2906708005;516;42;39;84;21;27;36;78;72;45;36;36
29067 Málaga;Total;Sección 2906708006;732;42;36;24;9;60;27;105;285;57;54;27
29067 Málaga;Total;Sección 2906708007;564;27;30;21;9;45;30;81;192;30;63;39
29067 Málaga;Total;Sección 2906708010;807;30;57;21;15;72;30;111;309;48;72;48
29067 Málaga;Total;Sección 2906708011;693;33;33;24;6;48;27;108;180;63;117;54
