Municipio de residencia;Distrito ;Total;Trabajador por cuenta propia que emplea personal;Trabajador por cuenta propia que no emplea personal;Trabajador por cuenta ajena fijo o indefinido;Trabajador por cuenta ajena temporal;Otra situación
29067 Málaga;Total;206367;7383;25260;125529;47535;654
29067 Málaga;Distrito 2906701;1608;108;369;858;267;3
29067 Málaga;Distrito 2906702;24873;1737;4542;14169;4374;57
29067 Málaga;Distrito 2906703;1164;48;240;636;243;0
29067 Málaga;Distrito 2906704;5535;180;816;3285;1230;21
29067 Málaga;Distrito 2906705;1335;36;219;744;333;3
29067 Málaga;Distrito 2906706;20292;693;2292;12183;5040;84
29067 Málaga;Distrito 2906707;38658;1176;4332;22986;10002;156
29067 Málaga;Distrito 2906708;46026;1377;4848;29400;10269;135
29067 Málaga;Distrito 2906709;26997;825;3039;16269;6774;87
29067 Málaga;Distrito 2906710;31905;873;3405;20115;7434;78
29067 Málaga;Distrito 2906711;7968;336;1161;4878;1569;27
