Municipio de residencia;Distrito de residencia;Total;Empresario que emplea personal;Empresario que no emplea personal;Trabajador fijo o indefinido;Trabajador eventual o temporal;Ayuda familiar;Miembro de cooperativas
29067 Málaga;Total;189395;12230;14855;120085;40700;990;535
29067 Málaga;Distrito 2906701;1905;90;190;1175;430;25*;0
29067 Málaga;Distrito 2906702;25255;3060;2510;15330;4190;135;30*
29067 Málaga;Distrito 2906703;1400;85*;195;660;450;0;10*
29067 Málaga;Distrito 2906704;5600;295;640;3410;1220;20*;15*
29067 Málaga;Distrito 2906705;1250;85*;120;815;225;0;0
29067 Málaga;Distrito 2906706;19120;895;1865;11700;4525;40*;95
29067 Málaga;Distrito 2906707;34960;2020;2805;21170;8560;260;140
29067 Málaga;Distrito 2906708;37690;2315;2425;24935;7665;220;130
29067 Málaga;Distrito 2906709;25720;1165;1700;16720;5925;175;35*
29067 Málaga;Distrito 2906710;29745;1555;1780;20090;6155;90;75
29067 Málaga;Distrito 2906711;6760;660;625;4085;1355;35*;0
