Municipio de residencia;Distrito de residencia;Seccion de residencia;Total;Empresario que emplea personal;Empresario que no emplea personal;Trabajador fijo o indefinido;Trabajador eventual o temporal;Ayuda familiar;Miembro de cooperativas
Total;Total;Total;50605;3570;3795;33795;9180;180;90
29067 Málaga;Total;Total;50605;3570;3795;33795;9180;180;90
29067 Málaga;Total;Sección 2906702003;875;100*;70;575;115;0;10*
29067 Málaga;Total;Sección 2906702013;710;120;15*;475;105;0;0
29067 Málaga;Total;Sección 2906702017;1120;60;60;855;130;10*;0
29067 Málaga;Total;Sección 2906702041;895;45*;120;610;120;0;0
29067 Málaga;Total;Sección 2906702044;800;180;130;490;0;0;0
29067 Málaga;Total;Sección 2906702048;935;155;115;515;125;20*;0
29067 Málaga;Total;Sección 2906702049;915;115;95;540;165;0;0
29067 Málaga;Total;Sección 2906702050;1200;240;80;780;100;0;0
29067 Málaga;Total;Sección 2906706001;1075;10*;65*;840;160;0;0
29067 Málaga;Total;Sección 2906706024;1025;10*;105;630;280;0;0
29067 Málaga;Total;Sección 2906706029;1105;110;115;625;255;0;0
29067 Málaga;Total;Sección 2906706039;810;20*;70;515;200;0;0
29067 Málaga;Total;Sección 2906707030;1000;35*;60;670;230;0;10*
29067 Málaga;Total;Sección 2906707048;870;95*;60;520;190;0;0
29067 Málaga;Total;Sección 2906707072;790;45*;10*;635;100;0;0
29067 Málaga;Total;Sección 2906707082;870;60;40*;640;130;0;0
29067 Málaga;Total;Sección 2906707090;535;40*;60;295;140;0;0
29067 Málaga;Total;Sección 2906707092;1510;10*;140;980;365;0;15*
29067 Málaga;Total;Sección 2906708006;700;20*;55;505;125;0;0
29067 Málaga;Total;Sección 2906708007;675;85;50*;455;75;15*;0
29067 Málaga;Total;Sección 2906708010;750;40*;50*;500;165;0;0
29067 Málaga;Total;Sección 2906708018;935;100;165;570;100;0;0
29067 Málaga;Total;Sección 2906708029;720;80;30*;520;90;0;0
29067 Málaga;Total;Sección 2906708033;1160;60*;60;740;300;0;0
29067 Málaga;Total;Sección 2906708035;1035;55;95;760;120;10*;0
29067 Málaga;Total;Sección 2906708040;810;0;55*;545;210;0;0
29067 Málaga;Total;Sección 2906708042;1035;35*;80;740;155;0;25*
29067 Málaga;Total;Sección 2906708043;1360;40*;40*;1120;145;10*;0
29067 Málaga;Total;Sección 2906708044;970;100;105;510;255;0;0
29067 Málaga;Total;Sección 2906708052;495;30*;20*;325;110;10*;0
29067 Málaga;Total;Sección 2906708054;765;25*;45;390;280;20*;0
29067 Málaga;Total;Sección 2906708056;1365;65*;80*;975;235;10*;0
29067 Málaga;Total;Sección 2906708058;1045;30*;35*;785;195;0;0
29067 Málaga;Total;Sección 2906708059;945;45;20*;760;125;0;0
29067 Málaga;Total;Sección 2906708061;1310;55*;110;830;300;0;15*
29067 Málaga;Total;Sección 2906708063;925;50*;55;585;235;0;0
29067 Málaga;Total;Sección 2906708065;1730;40*;85;1150;455;0;0
29067 Málaga;Total;Sección 2906709003;760;50*;85;510;115;0;0
29067 Málaga;Total;Sección 2906709007;780;30*;55;565;115;15*;0
29067 Málaga;Total;Sección 2906709011;640;85;35*;340;170;10*;0
29067 Málaga;Total;Sección 2906710001;895;70;90*;415;290;25*;0
29067 Málaga;Total;Sección 2906710003;1130;170;50*;750;160;0;0
29067 Málaga;Total;Sección 2906710019;645;60*;45*;460;80;0;0
29067 Málaga;Total;Sección 2906710034;880;15*;20*;620;215;10*;0
29067 Málaga;Total;Sección 2906710066;930;80;10*;660;165;0;15*
29067 Málaga;Total;Sección 2906710068;660;30*;40*;490;95;0;0
29067 Málaga;Total;Sección 2906710069;845;45*;65*;635;105;0;0
29067 Málaga;Total;Sección 2906710070;1065;65*;70*;795;140;0;0
29067 Málaga;Total;Sección 2906710072;875;35*;70*;690;80;0;0
29067 Málaga;Total;Sección 2906711002;845;50*;55;620;115;0;0
29067 Málaga;Total;Sección 2906711003;935;40*;120;520;245;10*;0
29067 Málaga;Total;Sección 2906711006;760;105;85;395;175;0;0
29067 Málaga;Total;Sección 2906711007;940;80;75;600;185;0;0
29067 Málaga;Total;Sección 2906711008;1250;160;170;755;160;0;0
29067 Málaga;Distrito 2906702;Total;7450;1015;690;4840;855;30*;10*
29067 Málaga;Distrito 2906702;Sección 2906702003;875;100*;70;575;115;0;10*
29067 Málaga;Distrito 2906702;Sección 2906702013;710;120;15*;475;105;0;0
29067 Málaga;Distrito 2906702;Sección 2906702017;1120;60;60;855;130;10*;0
29067 Málaga;Distrito 2906702;Sección 2906702041;895;45*;120;610;120;0;0
29067 Málaga;Distrito 2906702;Sección 2906702044;800;180;130;490;0;0;0
29067 Málaga;Distrito 2906702;Sección 2906702048;935;155;115;515;125;20*;0
29067 Málaga;Distrito 2906702;Sección 2906702049;915;115;95;540;165;0;0
29067 Málaga;Distrito 2906702;Sección 2906702050;1200;240;80;780;100;0;0
29067 Málaga;Distrito 2906706;Total;4015;150;355;2615;895;0;0
29067 Málaga;Distrito 2906706;Sección 2906706001;1075;10*;65*;840;160;0;0
29067 Málaga;Distrito 2906706;Sección 2906706024;1025;10*;105;630;280;0;0
29067 Málaga;Distrito 2906706;Sección 2906706029;1105;110;115;625;255;0;0
29067 Málaga;Distrito 2906706;Sección 2906706039;810;20*;70;515;200;0;0
29067 Málaga;Distrito 2906707;Total;5575;285;365;3745;1150;0;25*
29067 Málaga;Distrito 2906707;Sección 2906707030;1000;35*;60;670;230;0;10*
29067 Málaga;Distrito 2906707;Sección 2906707048;870;95*;60;520;190;0;0
29067 Málaga;Distrito 2906707;Sección 2906707072;790;45*;10*;635;100;0;0
29067 Málaga;Distrito 2906707;Sección 2906707082;870;60;40*;640;130;0;0
29067 Málaga;Distrito 2906707;Sección 2906707090;535;40*;60;295;140;0;0
29067 Málaga;Distrito 2906707;Sección 2906707092;1510;10*;140;980;365;0;15*
29067 Málaga;Distrito 2906708;Total;18740;950;1235;12770;3675;75;40*
29067 Málaga;Distrito 2906708;Sección 2906708006;700;20*;55;505;125;0;0
29067 Málaga;Distrito 2906708;Sección 2906708007;675;85;50*;455;75;15*;0
29067 Málaga;Distrito 2906708;Sección 2906708010;750;40*;50*;500;165;0;0
29067 Málaga;Distrito 2906708;Sección 2906708018;935;100;165;570;100;0;0
29067 Málaga;Distrito 2906708;Sección 2906708029;720;80;30*;520;90;0;0
29067 Málaga;Distrito 2906708;Sección 2906708033;1160;60*;60;740;300;0;0
29067 Málaga;Distrito 2906708;Sección 2906708035;1035;55;95;760;120;10*;0
29067 Málaga;Distrito 2906708;Sección 2906708040;810;0;55*;545;210;0;0
29067 Málaga;Distrito 2906708;Sección 2906708042;1035;35*;80;740;155;0;25*
29067 Málaga;Distrito 2906708;Sección 2906708043;1360;40*;40*;1120;145;10*;0
29067 Málaga;Distrito 2906708;Sección 2906708044;970;100;105;510;255;0;0
29067 Málaga;Distrito 2906708;Sección 2906708052;495;30*;20*;325;110;10*;0
29067 Málaga;Distrito 2906708;Sección 2906708054;765;25*;45;390;280;20*;0
29067 Málaga;Distrito 2906708;Sección 2906708056;1365;65*;80*;975;235;10*;0
29067 Málaga;Distrito 2906708;Sección 2906708058;1045;30*;35*;785;195;0;0
29067 Málaga;Distrito 2906708;Sección 2906708059;945;45;20*;760;125;0;0
29067 Málaga;Distrito 2906708;Sección 2906708061;1310;55*;110;830;300;0;15*
29067 Málaga;Distrito 2906708;Sección 2906708063;925;50*;55;585;235;0;0
29067 Málaga;Distrito 2906708;Sección 2906708065;1730;40*;85;1150;455;0;0
29067 Málaga;Distrito 2906709;Total;2180;165;180;1415;400;25*;0
29067 Málaga;Distrito 2906709;Sección 2906709003;760;50*;85;510;115;0;0
29067 Málaga;Distrito 2906709;Sección 2906709007;780;30*;55;565;115;15*;0
29067 Málaga;Distrito 2906709;Sección 2906709011;640;85;35*;340;170;10*;0
29067 Málaga;Distrito 2906710;Total;7925;565;465;5525;1325;35*;15*
29067 Málaga;Distrito 2906710;Sección 2906710001;895;70;90*;415;290;25*;0
29067 Málaga;Distrito 2906710;Sección 2906710003;1130;170;50*;750;160;0;0
29067 Málaga;Distrito 2906710;Sección 2906710019;645;60*;45*;460;80;0;0
29067 Málaga;Distrito 2906710;Sección 2906710034;880;15*;20*;620;215;10*;0
29067 Málaga;Distrito 2906710;Sección 2906710066;930;80;10*;660;165;0;15*
29067 Málaga;Distrito 2906710;Sección 2906710068;660;30*;40*;490;95;0;0
29067 Málaga;Distrito 2906710;Sección 2906710069;845;45*;65*;635;105;0;0
29067 Málaga;Distrito 2906710;Sección 2906710070;1065;65*;70*;795;140;0;0
29067 Málaga;Distrito 2906710;Sección 2906710072;875;35*;70*;690;80;0;0
29067 Málaga;Distrito 2906711;Total;4725;440;505;2895;875;10*;0
29067 Málaga;Distrito 2906711;Sección 2906711002;845;50*;55;620;115;0;0
29067 Málaga;Distrito 2906711;Sección 2906711003;935;40*;120;520;245;10*;0
29067 Málaga;Distrito 2906711;Sección 2906711006;760;105;85;395;175;0;0
29067 Málaga;Distrito 2906711;Sección 2906711007;940;80;75;600;185;0;0
29067 Málaga;Distrito 2906711;Sección 2906711008;1250;160;170;755;160;0;0
