Municipio de residencia;Distrito ;Sección ;Total;Trabajador por cuenta propia que emplea personal;Trabajador por cuenta propia que no emplea personal;Trabajador por cuenta ajena fijo o indefinido;Trabajador por cuenta ajena temporal;Otra situación
Total;Total;Total;101406;3741;12870;63495;21012;291
29067 Málaga;Total;Total;101406;3741;12870;63495;21012;291
29067 Málaga;Total;Sección 2906701001;687;42;162;363;114;3
29067 Málaga;Total;Sección 2906702003;792;39;120;483;147;0
29067 Málaga;Total;Sección 2906702004;549;69;120;285;75;0
29067 Málaga;Total;Sección 2906702009;633;45;87;354;144;0
29067 Málaga;Total;Sección 2906702013;867;81;198;468;117;0
29067 Málaga;Total;Sección 2906702020;540;24;69;330;120;0
29067 Málaga;Total;Sección 2906702022;627;54;126;348;99;3
29067 Málaga;Total;Sección 2906702024;510;15;48;300;144;0
29067 Málaga;Total;Sección 2906702026;768;24;87;462;192;3
29067 Málaga;Total;Sección 2906702027;909;69;180;507;153;0
29067 Málaga;Total;Sección 2906702028;510;21;78;294;114;0
29067 Málaga;Total;Sección 2906702030;843;42;138;468;189;3
29067 Málaga;Total;Sección 2906702041;846;69;153;504;120;0
29067 Málaga;Total;Sección 2906702044;804;48;165;501;84;0
29067 Málaga;Total;Sección 2906702047;618;54;138;354;72;0
29067 Málaga;Total;Sección 2906702048;774;75;126;480;90;3
29067 Málaga;Total;Sección 2906702049;855;51;144;528;132;0
29067 Málaga;Total;Sección 2906702050;1140;102;231;651;153;3
29067 Málaga;Total;Sección 2906703003;531;18;93;291;126;0
29067 Málaga;Total;Sección 2906704001;579;21;93;348;117;0
29067 Málaga;Total;Sección 2906704003;558;18;75;303;159;3
29067 Málaga;Total;Sección 2906704004;525;15;78;318;108;6
29067 Málaga;Total;Sección 2906704007;504;15;57;309;123;3
29067 Málaga;Total;Sección 2906704009;582;15;90;369;105;0
29067 Málaga;Total;Sección 2906705002;690;15;93;390;186;3
29067 Málaga;Total;Sección 2906706002;714;24;72;444;174;3
29067 Málaga;Total;Sección 2906706007;567;36;81;300;150;3
29067 Málaga;Total;Sección 2906706012;567;15;69;366;117;3
29067 Málaga;Total;Sección 2906706013;732;27;93;423;186;0
29067 Málaga;Total;Sección 2906706019;537;21;72;294;147;0
29067 Málaga;Total;Sección 2906706025;609;27;78;333;165;6
29067 Málaga;Total;Sección 2906706028;888;27;105;537;213;6
29067 Málaga;Total;Sección 2906706031;510;24;66;297;126;0
29067 Málaga;Total;Sección 2906706039;660;33;99;405;117;6
29067 Málaga;Total;Sección 2906706048;906;24;102;609;162;3
29067 Málaga;Total;Sección 2906707005;654;18;90;420;126;3
29067 Málaga;Total;Sección 2906707011;561;21;66;357;117;0
29067 Málaga;Total;Sección 2906707023;795;18;63;501;207;3
29067 Málaga;Total;Sección 2906707027;660;51;141;357;111;3
29067 Málaga;Total;Sección 2906707030;519;12;66;339;105;3
29067 Málaga;Total;Sección 2906707034;717;21;78;432;189;0
29067 Málaga;Total;Sección 2906707043;687;18;78;414;174;3
29067 Málaga;Total;Sección 2906707046;795;33;123;462;177;3
29067 Málaga;Total;Sección 2906707048;681;21;81;423;159;3
29067 Málaga;Total;Sección 2906707050;600;18;63;360;156;3
29067 Málaga;Total;Sección 2906707066;504;12;42;321;132;0
29067 Málaga;Total;Sección 2906707067;525;21;48;303;156;0
29067 Málaga;Total;Sección 2906707071;531;12;60;330;129;3
29067 Málaga;Total;Sección 2906707072;798;33;81;513;165;3
29067 Málaga;Total;Sección 2906707074;825;27;69;543;183;0
29067 Málaga;Total;Sección 2906707076;633;30;99;363;138;3
29067 Málaga;Total;Sección 2906707077;828;30;123;477;192;3
29067 Málaga;Total;Sección 2906707082;918;27;120;567;198;3
29067 Málaga;Total;Sección 2906707089;720;33;141;378;162;6
29067 Málaga;Total;Sección 2906707090;813;33;111;471;195;3
29067 Málaga;Total;Sección 2906707091;1227;21;72;906;222;6
29067 Málaga;Total;Sección 2906707092;834;12;78;558;186;3
29067 Málaga;Total;Sección 2906707095;501;12;42;327;126;0
29067 Málaga;Total;Sección 2906708001;702;21;72;462;147;3
29067 Málaga;Total;Sección 2906708003;537;12;48;342;135;0
29067 Málaga;Total;Sección 2906708006;870;30;69;597;168;0
29067 Málaga;Total;Sección 2906708007;666;18;54;420;168;3
29067 Málaga;Total;Sección 2906708010;954;39;120;576;219;3
29067 Málaga;Total;Sección 2906708011;825;27;111;456;228;3
29067 Málaga;Total;Sección 2906708012;1170;42;132;690;300;0
29067 Málaga;Total;Sección 2906708013;774;33;93;465;180;3
29067 Málaga;Total;Sección 2906708015;513;12;51;273;174;3
29067 Málaga;Total;Sección 2906708017;618;21;81;312;204;3
29067 Málaga;Total;Sección 2906708018;630;18;72;420;117;0
29067 Málaga;Total;Sección 2906708028;984;30;96;621;237;0
29067 Málaga;Total;Sección 2906708029;876;27;111;534;201;0
29067 Málaga;Total;Sección 2906708030;1266;57;198;768;237;6
29067 Málaga;Total;Sección 2906708031;654;33;81;378;162;3
29067 Málaga;Total;Sección 2906708033;1056;36;120;690;201;3
29067 Málaga;Total;Sección 2906708035;1053;18;87;726;216;6
29067 Málaga;Total;Sección 2906708036;537;18;48;327;141;6
29067 Málaga;Total;Sección 2906708039;732;18;60;474;174;3
29067 Málaga;Total;Sección 2906708040;1023;27;129;675;189;6
29067 Málaga;Total;Sección 2906708041;582;15;57;372;135;3
29067 Málaga;Total;Sección 2906708042;909;27;87;618;174;0
29067 Málaga;Total;Sección 2906708043;1209;30;138;798;240;3
29067 Málaga;Total;Sección 2906708044;1119;42;159;693;219;6
29067 Málaga;Total;Sección 2906708052;534;15;60;330;126;3
29067 Málaga;Total;Sección 2906708054;954;27;111;612;198;6
29067 Málaga;Total;Sección 2906708055;657;24;69;426;135;3
29067 Málaga;Total;Sección 2906708056;732;18;60;501;156;0
29067 Málaga;Total;Sección 2906708057;1218;33;141;825;216;0
29067 Málaga;Total;Sección 2906708058;972;33;123;660;153;3
29067 Málaga;Total;Sección 2906708059;990;33;123;678;156;3
29067 Málaga;Total;Sección 2906708061;1185;30;117;831;201;3
29067 Málaga;Total;Sección 2906708063;1272;42;141;840;249;0
29067 Málaga;Total;Sección 2906708064;603;15;66;384;135;3
29067 Málaga;Total;Sección 2906708065;714;12;63;519;123;3
29067 Málaga;Total;Sección 2906708066;1092;18;60;750;255;9
29067 Málaga;Total;Sección 2906708067;573;15;48;381;126;3
29067 Málaga;Total;Sección 2906708068;807;6;75;561;159;3
29067 Málaga;Total;Sección 2906708069;783;18;78;528;156;3
29067 Málaga;Total;Sección 2906708070;816;21;81;567;144;3
29067 Málaga;Total;Sección 2906708072;696;15;48;456;174;3
29067 Málaga;Total;Sección 2906709003;651;27;105;399;120;0
29067 Málaga;Total;Sección 2906709006;612;27;93;384;108;0
29067 Málaga;Total;Sección 2906709007;975;30;129;612;195;6
29067 Málaga;Total;Sección 2906709011;666;18;72;405;168;3
29067 Málaga;Total;Sección 2906709012;582;21;63;354;144;0
29067 Málaga;Total;Sección 2906709036;654;15;84;393;159;0
29067 Málaga;Total;Sección 2906709046;504;12;78;306;108;3
29067 Málaga;Total;Sección 2906709052;543;18;66;318;138;3
29067 Málaga;Total;Sección 2906709055;525;12;54;336;123;0
29067 Málaga;Total;Sección 2906709056;609;18;69;402;114;3
29067 Málaga;Total;Sección 2906709083;540;12;45;372;114;0
29067 Málaga;Total;Sección 2906710001;789;18;81;483;201;3
29067 Málaga;Total;Sección 2906710002;612;21;45;360;183;3
29067 Málaga;Total;Sección 2906710003;798;30;132;531;108;0
29067 Málaga;Total;Sección 2906710016;675;18;63;432;159;0
29067 Málaga;Total;Sección 2906710019;699;15;75;477;129;3
29067 Málaga;Total;Sección 2906710021;654;15;81;438;117;0
29067 Málaga;Total;Sección 2906710023;633;15;66;432;123;0
29067 Málaga;Total;Sección 2906710026;519;6;63;321;129;0
29067 Málaga;Total;Sección 2906710034;783;18;75;525;159;6
29067 Málaga;Total;Sección 2906710052;585;15;78;372;117;3
29067 Málaga;Total;Sección 2906710056;516;15;66;324;108;0
29067 Málaga;Total;Sección 2906710066;663;15;81;447;117;0
29067 Málaga;Total;Sección 2906710068;699;15;84;465;135;3
29067 Málaga;Total;Sección 2906710069;1029;30;117;720;159;0
29067 Málaga;Total;Sección 2906710070;975;33;135;690;117;0
29067 Málaga;Total;Sección 2906710071;834;42;123;528;135;3
29067 Málaga;Total;Sección 2906710072;1479;51;204;990;231;3
29067 Málaga;Total;Sección 2906710074;534;21;60;333;117;3
29067 Málaga;Total;Sección 2906711002;891;21;105;552;207;0
29067 Málaga;Total;Sección 2906711003;894;36;132;570;159;3
29067 Málaga;Total;Sección 2906711004;723;42;144;414;117;3
29067 Málaga;Total;Sección 2906711006;639;21;69;405;141;0
29067 Málaga;Total;Sección 2906711007;936;39;141;597;159;3
29067 Málaga;Total;Sección 2906711008;516;36;114;282;84;0
29067 Málaga;Total;Sección 2906711010;735;33;135;444;117;3
29067 Málaga;Total;Sección 2906711013;624;24;96;390;111;0
29067 Málaga;Distrito 2906701;Total;684;42;165;363;114;0
29067 Málaga;Distrito 2906701;Sección 2906701001;687;45;165;363;114;3
29067 Málaga;Distrito 2906702;Total;12585;882;2217;7317;2148;21
29067 Málaga;Distrito 2906702;Sección 2906702003;792;39;123;480;150;0
29067 Málaga;Distrito 2906702;Sección 2906702004;549;69;120;285;75;0
29067 Málaga;Distrito 2906702;Sección 2906702009;636;45;87;354;144;0
29067 Málaga;Distrito 2906702;Sección 2906702013;870;81;201;471;117;3
29067 Málaga;Distrito 2906702;Sección 2906702020;540;24;66;330;120;0
29067 Málaga;Distrito 2906702;Sección 2906702022;627;54;126;348;102;0
29067 Málaga;Distrito 2906702;Sección 2906702024;510;15;48;303;144;0
29067 Málaga;Distrito 2906702;Sección 2906702026;768;24;87;462;192;3
